Unnamed: 0,KAN,DEN
First Downs,16,18
Rush-Yds-TDs,34-145-0,36-145-0
Cmp-Att-Yd-TD-INT,17-23-133-0-0,16-30-173-0-1
Sacked-Yards,1-2,0-0
Net Pass Yards,131,173
Total Yards,276,318
Fumbles-Lost,3-2,1-0
Turnovers,2,1
Penalties-Yards,4-26,0-0
Third Down Conv.,5-13,3-14
Fourth Down Conv.,0-0,1-1
Time of Possession,30:47,34:23
