Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Frank Gore,MIA,11,41,0,1,28,2.5,13,1.2,0,
Kenyan Drake,MIA,3,3,0,0,-1,-0.3,4,1.3,1,3.0
Kalen Ballage,MIA,1,3,0,,3,3.0,0,0.0,0,
Brock Osweiler,MIA,1,7,0,0,7,7.0,0,0.0,0,
Ryan Tannehill,MIA,1,0,0,0,0,0.0,0,0.0,0,
Albert Wilson,MIA,1,2,0,0,0,0.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Sony Michel,NWE,25,112,1,6,51,2.0,61,2.4,1,25.0
James White,NWE,8,44,1,2,30,3.8,14,1.8,0,
Kenjon Barner,NWE,3,11,0,1,11,3.7,0,0.0,0,
Brian Hoyer,NWE,3,-3,0,,-3,-1.0,0,0.0,0,
Cordarrelle Patterson,NWE,1,11,0,1,-11,-11.0,22,22.0,1,1.0
