Unnamed: 0,PHI,ATL
First Downs,23,21
Rush-Yds-TDs,16-63-2,35-105-0
Cmp-Att-Yd-TD-INT,36-52-336-1-2,23-34-298-2-2
Sacked-Yards,0-0,1-8
Net Pass Yards,336,290
Total Yards,399,395
Fumbles-Lost,0-0,0-0
Turnovers,2,2
Penalties-Yards,10-88,7-57
Third Down Conv.,3-12,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,24:33,35:27
