Quarter,Time,Tm,Detail,NYG,BAL
1.0,6:48,Ravens,Marquise Brown 6 yard pass from Lamar Jackson (Justin Tucker kick),0,7
,0:07,Ravens,J.K. Dobbins 2 yard rush (Justin Tucker kick),0,14
2.0,4:38,Ravens,Justin Tucker 20 yard field goal,0,17
,1:08,Giants,Graham Gano 31 yard field goal,3,17
,0:00,Ravens,Justin Tucker 28 yard field goal,3,20
3.0,3:54,Giants,Graham Gano 42 yard field goal,6,20
4.0,14:55,Ravens,Dez Bryant 8 yard pass from Lamar Jackson (Justin Tucker kick),6,27
,8:40,Giants,Sterling Shepard 3 yard pass from Daniel Jones (Graham Gano kick),13,27
