Unnamed: 0,NYG,BAL
First Downs,24,25
Rush-Yds-TDs,12-54-0,40-249-1
Cmp-Att-Yd-TD-INT,24-41-252-1-0,17-26-183-2-0
Sacked-Yards,6-37,0-0
Net Pass Yards,215,183
Total Yards,269,432
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-35,10-65
Third Down Conv.,1-10,8-11
Fourth Down Conv.,1-3,0-0
Time of Possession,24:51,35:09
