Quarter,Time,Down,ToGo,Location,NYG,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 63 yards, returned by Devin Duvernay for 16 yards (tackle by Adrian Colbert)",0.000,0.040
1,14:54,1,10,BAL 18,0,0,J.K. Dobbins left tackle for 4 yards (tackle by Blake Martinez),0.040,0.140
1,14:14,2,6,BAL 22,0,0,Lamar Jackson pass complete short middle to Willie Snead for 13 yards (tackle by Blake Martinez and Xavier McKinney),0.140,1.270
1,13:36,1,10,BAL 35,0,0,J.K. Dobbins right guard for 3 yards (tackle by Dalvin Tomlinson),1.270,1.130
1,12:52,2,7,BAL 38,0,0,Lamar Jackson pass complete short middle to Miles Boykin for 13 yards (tackle by Xavier McKinney),1.130,2.320
1,12:06,1,10,NYG 49,0,0,J.K. Dobbins left end for 5 yards (tackle by Tae Crowder),2.320,2.460
1,11:30,2,5,NYG 44,0,0,Lamar Jackson pass complete short middle to Marquise Brown for 9 yards (tackle by Xavier McKinney),2.460,3.250
1,10:48,1,10,NYG 35,0,0,Gus Edwards right tackle for 6 yards (tackle by Isaac Yiadom and Leonard Williams),3.250,3.510
1,10:14,2,4,NYG 29,0,0,Lamar Jackson right end for 2 yards (tackle by Blake Martinez),3.510,3.070
1,9:35,3,2,NYG 27,0,0,Devin Duvernay left end for 7 yards (tackle by Cam Brown),3.070,4.240
1,8:55,1,10,NYG 20,0,0,Lamar Jackson right guard for 8 yards (tackle by Xavier McKinney),4.240,5.040
1,8:21,2,2,NYG 12,0,0,Gus Edwards right guard for 5 yards (tackle by Dalvin Tomlinson),5.040,5.600
1,7:38,1,7,NYG 7,0,0,Gus Edwards right guard for 1 yard (tackle by Dalvin Tomlinson and Blake Martinez),5.600,4.950
1,6:53,2,6,NYG 6,0,6,"Lamar Jackson pass complete short left to Marquise Brown for 6 yards, touchdown",4.950,7.000
1,6:48,,,NYG 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,6:48,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,6:48,1,10,NYG 25,0,7,Wayne Gallman right guard for 3 yards (tackle by Derek Wolfe and Brandon Williams),0.610,0.470
1,6:12,2,7,NYG 28,0,7,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Anthony Averett),0.470,-0.230
1,6:09,3,7,NYG 28,0,7,"Penalty on Cameron Fleming: False Start, 5 yards (no play)",-0.230,-0.890
1,6:09,3,12,NYG 23,0,7,"Penalty on Kevin Zeitler: False Start, 5 yards (no play)",-0.890,-1.720
1,6:09,3,17,NYG 18,0,7,Daniel Jones pass complete short right to Evan Engram for 10 yards (tackle by Patrick Queen and DeShon Elliott),-1.720,-1.500
1,5:24,4,7,NYG 28,0,7,"Riley Dixon punts 54 yards, returned by Devin Duvernay for 17 yards (tackle by Joe Webb)",-1.500,-1.270
1,5:12,1,10,BAL 35,0,7,Lamar Jackson up the middle for 18 yards (tackle by Logan Ryan),1.270,2.460
1,4:25,1,10,NYG 47,0,7,Gus Edwards right tackle for 3 yards (tackle by Dexter Lawrence and Blake Martinez),2.460,2.320
1,3:45,2,7,NYG 44,0,7,Lamar Jackson left end for 6 yards (tackle by Logan Ryan),2.320,2.410
1,3:13,3,1,NYG 38,0,7,Gus Edwards right end for 2 yards (tackle by Logan Ryan),2.410,3.180
1,2:29,1,10,NYG 36,0,7,Lamar Jackson pass incomplete deep middle intended for Mark Andrews,3.180,2.640
1,2:25,2,10,NYG 36,0,7,J.K. Dobbins right tackle for 6 yards (tackle by B.J. Hill and Tae Crowder),2.640,2.740
1,1:44,3,4,NYG 30,0,7,Lamar Jackson pass complete short middle to Willie Snead for 11 yards (tackle by Xavier McKinney),2.740,4.310
1,1:00,1,10,NYG 19,0,7,J.K. Dobbins left end for 17 yards (tackle by Tae Crowder),4.310,6.740
1,0:14,1,2,NYG 2,0,7,Lamar Jackson pass incomplete short left intended for J.K. Dobbins,6.740,5.720
1,0:11,2,2,NYG 2,0,13,"J.K. Dobbins right guard for 2 yards, touchdown",5.720,7.000
1,0:07,,,NYG 15,0,14,Justin Tucker kicks extra point good,0.000,0.000
1,0:07,,,BAL 35,0,14,"Justin Tucker kicks off 62 yards, returned by Dion Lewis for 20 yards (tackle by Pierre Desir). Penalty on Tae Crowder: Illegal Block Above the Waist, 10 yards. Penalty on Austin Mack: Offensive Holding (Declined)",0.000,-0.320
1,0:02,1,10,NYG 13,0,14,"Daniel Jones pass incomplete deep right intended for Sterling Shepard. Penalty on Chuck Clark: Illegal Contact, 5 yards (no play)",-0.320,0.040
Quarter,Time,Down,ToGo,Location,NYG,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 18,0,14,Evan Engram left end for 5 yards (tackle by Marlon Humphrey),0.040,0.280
2,14:18,2,5,NYG 23,0,14,Daniel Jones pass complete short right to Wayne Gallman for 7 yards (tackle by Anthony Averett),0.280,0.940
2,13:55,1,10,NYG 30,0,14,Daniel Jones pass incomplete deep middle intended for Sterling Shepard,0.940,0.390
2,13:50,2,10,NYG 30,0,14,Wayne Gallman right guard for 6 yards (tackle by L.J. Fort and Justin Ellis),0.390,0.500
2,13:11,3,4,NYG 36,0,14,Daniel Jones pass incomplete short middle intended for Austin Mack,0.500,-0.980
2,13:06,4,4,NYG 36,0,14,"Riley Dixon punts 45 yards, returned by Devin Duvernay for 19 yards (tackle by Riley Dixon)",-0.980,-1.470
2,12:51,1,10,BAL 38,0,14,Gus Edwards left end for 9 yards (tackle by Logan Ryan),1.470,2.140
2,12:20,2,1,BAL 47,0,14,Gus Edwards left guard for 5 yards (tackle by B.J. Hill and Austin Johnson),2.140,2.390
2,11:36,1,10,NYG 48,0,14,Lamar Jackson pass incomplete short middle,2.390,1.850
2,11:34,2,10,NYG 48,0,14,Lamar Jackson pass complete short middle to Mark Andrews for 6 yards (tackle by Tae Crowder),1.850,1.950
2,10:47,3,4,NYG 42,0,14,Lamar Jackson right end for 7 yards (tackle by Julian Love),1.950,3.250
2,10:11,1,10,NYG 35,0,14,"J.K. Dobbins left guard for 1 yard (tackle by Dalvin Tomlinson and Austin Johnson). Penalty on Ben Bredeson: Illegal Formation, 5 yards (no play)",3.250,2.920
2,9:33,1,15,NYG 40,0,14,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Blake Martinez and Tae Crowder),2.920,3.510
2,8:50,2,4,NYG 29,0,14,J.K. Dobbins left tackle for 3 yards (tackle by Tae Crowder),3.510,3.200
2,8:16,3,1,NYG 26,0,14,Gus Edwards up the middle for 2 yards (tackle by Dalvin Tomlinson and James Bradberry),3.200,3.970
2,7:29,1,10,NYG 24,0,14,"Penalty on BAL: Delay of Game, 5 yards (no play)",3.970,3.640
2,7:04,1,15,NYG 29,0,14,Lamar Jackson pass complete deep right to Mark Andrews for 20 yards (tackle by Logan Ryan),3.640,5.140
2,6:16,1,9,NYG 9,0,14,Lamar Jackson pass complete short middle to Devin Duvernay for no gain (tackle by Cam Brown),5.140,4.380
2,5:33,2,9,NYG 9,0,14,J.K. Dobbins right end for 7 yards (tackle by Logan Ryan and Dexter Lawrence),4.380,4.950
2,4:48,3,2,NYG 2,0,14,Lamar Jackson pass incomplete short right intended for Mark Andrews,4.950,3.250
2,4:41,4,2,NYG 2,0,17,Justin Tucker 20 yard field goal good,3.250,3.000
2,4:38,,,BAL 35,0,17,"Justin Tucker kicks off 65 yards, returned by Dion Lewis for 23 yards (tackle by L.J. Fort and Kristian Welch)",0.000,0.480
2,4:32,1,10,NYG 23,0,17,Daniel Jones pass complete short right to Sterling Shepard for 14 yards (tackle by Tramon Williams),0.480,1.400
2,3:56,1,10,NYG 37,0,17,Alfred Morris right guard for 1 yard (tackle by Yannick Ngakoue),1.400,0.990
2,3:19,2,9,NYG 38,0,17,Daniel Jones pass complete short left to Evan Engram for 13 yards (tackle by Anthony Averett),0.990,2.320
2,2:32,1,10,BAL 49,0,17,Alfred Morris right guard for 1 yard (tackle by Calais Campbell),2.320,1.920
2,2:06,2,9,BAL 48,0,17,Daniel Jones pass complete short middle to Alfred Morris for 9 yards (tackle by Patrick Queen),1.920,2.980
2,1:58,1,10,BAL 39,0,17,Daniel Jones pass complete short right to Sterling Shepard for 11 yards (tackle by Marlon Humphrey and Tramon Williams),2.980,3.710
2,1:52,1,10,BAL 28,0,17,Daniel Jones pass complete short left to Evan Engram for 11 yards (tackle by Tramon Williams),3.710,4.440
2,1:25,1,10,BAL 17,0,17,Daniel Jones pass complete short right to Sterling Shepard for 4 yards (tackle by Marlon Humphrey),4.440,4.500
2,1:19,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:19,2,6,BAL 13,0,17,Daniel Jones pass incomplete short middle intended for Austin Mack,4.500,3.680
2,1:15,3,6,BAL 13,0,17,Daniel Jones pass incomplete short middle intended for Austin Mack (defended by Marlon Humphrey),3.680,2.590
2,1:11,4,6,BAL 13,3,17,Graham Gano 31 yard field goal good,2.590,3.000
2,1:08,,,NYG 35,3,17,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,1:08,1,10,BAL 25,3,17,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Blake Martinez and Jabrill Peppers),0.610,1.010
2,0:51,2,3,BAL 32,3,17,Lamar Jackson pass complete short left to Mark Andrews for 25 yards (tackle by Xavier McKinney),1.010,2.720
2,0:45,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:45,1,10,NYG 43,3,17,Lamar Jackson pass complete short right to Marquise Brown for 6 yards (tackle by James Bradberry),2.720,2.990
2,0:40,2,4,NYG 37,3,17,Lamar Jackson pass incomplete deep right intended for Mark Andrews. Penalty on Mark Andrews: Illegal Touch Pass,2.990,2.280
2,0:34,3,4,NYG 37,3,17,Lamar Jackson right guard for 7 yards (tackle by Jabrill Peppers),2.280,3.580
2,0:29,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:29,1,10,NYG 30,3,17,Lamar Jackson pass incomplete short right,3.580,3.030
2,0:23,2,10,NYG 30,3,17,Lamar Jackson right guard for 20 yards (tackle by Xavier McKinney),3.030,4.910
2,0:08,1,10,NYG 10,3,17,Lamar Jackson spiked the ball,4.910,4.190
2,0:07,,,,,,Timeout #1 by New York Giants,,
2,0:07,2,10,NYG 10,3,17,Lamar Jackson pass incomplete short middle intended for Mark Andrews,4.190,3.130
2,0:04,3,10,NYG 10,3,20,Justin Tucker 28 yard field goal good,3.130,3.000
Quarter,Time,Down,ToGo,Location,NYG,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,3,20,"Justin Tucker kicks off 61 yards, returned by Dion Lewis for 19 yards (tackle by Malik Harrison)",0.000,0.480
3,14:53,1,10,NYG 23,3,20,Daniel Jones sacked by Jihad Ward for -8 yards,0.480,-1.280
