Quarter,Time,Tm,Detail,CHI,OAK
2.0,14:55,Raiders,Josh Jacobs 12 yard rush (Daniel Carlson kick),0,7
,9:51,Raiders,DeAndre Washington 3 yard rush (Daniel Carlson kick),0,14
,1:56,Raiders,Daniel Carlson 41 yard field goal,0,17
3.0,12:43,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),7,17
,3:56,Bears,Allen Robinson 4 yard pass from Chase Daniel (Eddy Pineiro kick),14,17
,1:16,Bears,Allen Robinson 16 yard pass from Chase Daniel (Eddy Pineiro kick),21,17
4.0,1:57,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),21,24
