Quarter,Time,Down,ToGo,Location,CHI,OAK,Detail,EPB,EPA
2,15:00,1,10,CHI 12,0,6,"Josh Jacobs left end for 12 yards, touchdown",4.780,7.000
2,14:55,,,CHI 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
2,14:55,,,OAK 35,0,7,"Daniel Carlson kicks off 70 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Derek Carrier)",0.000,0.540
2,14:47,1,10,CHI 24,0,7,David Montgomery right guard for 4 yards (tackle by P.J. Hall),0.540,0.540
2,14:12,2,6,CHI 28,0,7,Chase Daniel pass complete short middle to Tarik Cohen for 1 yard (tackle by Karl Joseph),0.540,-0.030
2,13:31,3,5,CHI 29,0,7,Chase Daniel pass short middle intended for Allen Robinson is intercepted by Nicholas Morrow at CHI-35 and returned for 11 yards,-0.030,-3.970
2,13:23,1,10,CHI 24,0,7,Josh Jacobs right guard for 3 yards (tackle by Roquan Smith),3.970,3.840
2,12:48,2,7,CHI 21,0,7,Josh Jacobs left tackle for 4 yards (tackle by Nick Williams),3.840,3.750
2,12:12,3,3,CHI 17,0,7,Derek Carr pass complete short right to Foster Moreau for 5 yards (tackle by Nick Williams),3.750,4.780
2,11:32,1,10,CHI 12,0,7,DeAndre Washington right guard for 5 yards (tackle by Ha Ha Clinton-Dix),4.780,5.020
2,10:50,2,5,CHI 7,0,7,DeAndre Washington right guard for 2 yards (tackle by Danny Trevathan),5.020,4.610
2,10:04,,,,,,Timeout #1 by Oakland Raiders,,
2,10:04,3,3,CHI 5,0,7,"Derek Carr pass incomplete short right. Penalty on Kyle Fuller: Defensive Holding, 2 yards (no play)",4.610,6.510
2,9:56,1,3,CHI 3,0,13,"DeAndre Washington right tackle for 3 yards, touchdown",6.510,7.000
2,9:51,,,CHI 15,0,14,Daniel Carlson kicks extra point good,0.000,0.000
2,9:51,,,OAK 35,0,14,"Daniel Carlson kicks off 70 yards, returned by Cordarrelle Patterson for 25 yards (tackle by Justin Phillips)",0.000,0.280
2,9:48,1,10,CHI 20,0,14,Tarik Cohen right guard for -1 yards (tackle by Johnathan Hankins),0.280,-0.460
2,9:06,2,11,CHI 19,0,14,David Montgomery right tackle for 5 yards (tackle by Josh Mauro and Tahir Whitehead),-0.460,-0.430
2,8:28,3,6,CHI 24,0,14,Chase Daniel sacked by Benson Mayowa for -8 yards,-0.430,-2.390
2,7:44,4,14,CHI 16,0,14,"Pat O'Donnell punts 48 yards, returned by Trevor Davis for 13 yards (tackle by Isaiah Irving)",-2.390,-2.190
2,7:32,1,10,OAK 49,0,14,Derek Carr left end for 9 yards (tackle by Prince Amukamara),2.190,2.860
2,7:01,2,1,CHI 42,0,14,DeAndre Washington right tackle for 2 yards (tackle by Isaiah Irving),2.860,2.920
2,6:23,1,10,CHI 40,0,14,Derek Carr pass complete short middle to DeAndre Washington for 8 yards (tackle by Danny Trevathan),2.920,3.450
2,5:39,2,2,CHI 32,0,14,DeAndre Washington right tackle for 2 yards (tackle by Eddie Goldman),3.450,3.580
2,4:57,1,10,CHI 30,0,14,Derek Carr pass complete short right to Keelan Doss for 7 yards (tackle by Kyle Fuller),3.580,3.980
2,4:20,2,3,CHI 23,0,14,Josh Jacobs left tackle for 2 yards (tackle by Danny Trevathan),3.980,3.530
2,3:40,,,,,,Timeout #2 by Oakland Raiders,,
2,3:40,3,1,CHI 21,0,14,Josh Jacobs right tackle for 2 yards (tackle by Danny Trevathan),3.530,4.310
2,3:02,1,10,CHI 19,0,14,"Josh Jacobs right end for -1 yards (tackle by Leonard Floyd). Penalty on Trent Brown: Offensive Holding (Declined) . Penalty on Richie Incognito: Chop Block, 15 yards (no play)",4.310,3.310
2,2:46,1,25,CHI 34,0,14,Derek Carr pass incomplete short left intended for Hunter Renfrow (defended by Nick Williams),3.310,1.740
2,2:42,2,25,CHI 34,0,14,Derek Carr pass incomplete short middle intended for Hunter Renfrow (defended by Buster Skrine),1.740,1.090
2,2:37,3,25,CHI 34,0,14,Derek Carr pass complete short right to Jalen Richard for 11 yards (tackle by Sherrick McManis),1.090,1.930
2,2:00,4,14,CHI 23,0,17,Daniel Carlson 41 yard field goal good,1.930,3.000
2,1:56,,,OAK 35,0,17,"Daniel Carlson kicks off 71 yards, returned by Cordarrelle Patterson for 39 yards (tackle by Karl Joseph)",0.000,1.140
2,1:50,1,10,CHI 33,0,17,Chase Daniel sacked by Maurice Hurst for -15 yards,1.140,-1.540
2,1:07,2,25,CHI 18,0,17,Tarik Cohen up the middle for 4 yards (tackle by Nicholas Morrow),-1.540,-1.550
2,0:33,3,21,CHI 22,0,17,Chase Daniel pass complete short right to Tarik Cohen for 8 yards (tackle by Daryl Worley),-1.550,-1.370
2,0:27,4,13,CHI 30,0,17,Pat O'Donnell punts 37 yards out of bounds,-1.370,-1.140
2,0:21,1,10,OAK 33,0,17,Derek Carr kneels for -1 yards,1.140,0.460
Quarter,Time,Down,ToGo,Location,CHI,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,0,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CHI 25,0,17,David Montgomery right tackle for no gain (tackle by Nicholas Morrow),0.610,0.060
3,14:27,2,10,CHI 25,0,17,Chase Daniel pass incomplete short left intended for Anthony Miller (defended by Erik Harris),0.060,-0.620
3,14:21,3,10,CHI 25,0,17,Chase Daniel pass incomplete short left intended for Anthony Miller,-0.620,-1.700
3,14:16,4,10,CHI 25,0,17,"Pat O'Donnell punts 50 yards, fair catch by Trevor Davis at OAK-25",-1.700,-0.610
3,14:09,1,10,OAK 25,0,17,Josh Jacobs right tackle for 6 yards (tackle by Eddie Jackson),0.610,0.870
3,13:28,2,4,OAK 31,0,17,"Derek Carr aborted snap, recovered by Khalil Mack at OAK-14 (tackle by Rodney Hudson)",0.870,-4.650
3,13:19,1,10,OAK 14,0,17,"Chase Daniel pass incomplete short left intended for Allen Robinson. Penalty on Lamarcus Joyner: Defensive Holding (Declined) . Penalty on Lamarcus Joyner: Defensive Pass Interference, 9 yards (no play)",4.650,6.060
3,13:12,1,5,OAK 5,0,17,David Montgomery right guard for 4 yards (tackle by Erik Harris),6.060,5.910
3,12:48,2,1,OAK 1,6,17,"David Montgomery left guard for 1 yard, touchdown",5.910,7.000
3,12:43,,,OAK 15,7,17,Eddy Pineiro kicks extra point good,0.000,0.000
3,12:43,,,CHI 35,7,17,"Pat O'Donnell kicks off 65 yards, touchback.",0.000,0.610
3,12:43,1,10,OAK 25,7,17,Derek Carr pass complete short left to Darren Waller for 9 yards (tackle by Prince Amukamara),0.610,1.280
3,12:17,2,1,OAK 34,7,17,Josh Jacobs right guard for 3 yards (tackle by Roy Robertson-Harris),1.280,1.400
3,11:50,1,10,OAK 37,7,17,Derek Carr pass incomplete short right,1.400,0.860
3,11:44,2,10,OAK 37,7,17,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",0.860,0.180
3,11:44,2,15,OAK 32,7,17,Derek Carr pass complete short right to Trevor Davis for 4 yards (tackle by Danny Trevathan),0.180,0.040
3,11:08,3,11,OAK 36,7,17,Derek Carr pass complete short right to Darren Waller for 8 yards (tackle by Deon Bush),0.040,-0.460
3,10:27,4,3,OAK 44,7,17,A.J. Cole punts 45 yards downed by Curtis Riley,-0.460,0.370
3,10:16,1,10,CHI 11,7,17,David Montgomery left guard for 2 yards (tackle by Johnathan Hankins),-0.370,-0.630
3,9:42,2,8,CHI 13,7,17,Chase Daniel pass complete short right to Anthony Miller for 10 yards (tackle by Lamarcus Joyner),-0.630,0.480
3,8:59,1,10,CHI 23,7,17,Chase Daniel right end for 2 yards (tackle by Karl Joseph),0.480,0.200
3,8:24,2,8,CHI 25,7,17,David Montgomery right tackle for -1 yards (tackle by Corey Liuget),0.200,-0.630
3,7:47,3,9,CHI 24,7,17,Chase Daniel pass complete short left to Trey Burton for 11 yards (tackle by Tahir Whitehead),-0.630,1.270
3,7:27,1,10,CHI 35,7,17,Chase Daniel pass incomplete short right intended for Tarik Cohen,1.270,0.720
3,7:24,2,10,CHI 35,7,17,Chase Daniel pass complete short middle to J.P. Holtz for 16 yards (tackle by Erik Harris),0.720,2.320
3,6:43,1,10,OAK 49,7,17,Chase Daniel pass complete short right to Anthony Miller for 4 yards (tackle by Tahir Whitehead),2.320,2.320
3,6:04,2,6,OAK 45,7,17,Tarik Cohen left tackle for 4 yards (tackle by Nicholas Morrow),2.320,2.150
3,5:26,3,2,OAK 41,7,17,Chase Daniel pass complete deep right to Anthony Miller for 32 yards (tackle by Lamarcus Joyner),2.150,5.140
3,4:40,1,9,OAK 9,7,17,Cordarrelle Patterson left end for 5 yards (tackle by Tahir Whitehead),5.140,5.340
3,4:03,2,4,OAK 4,13,17,"Chase Daniel pass complete short right to Allen Robinson for 4 yards, touchdown, touchdown",5.340,7.000
3,3:56,,,OAK 15,14,17,Eddy Pineiro kicks extra point good,0.000,0.000
3,3:56,,,CHI 35,14,17,"Pat O'Donnell kicks off 65 yards, touchback.",0.000,0.610
3,3:56,1,10,OAK 25,14,17,Josh Jacobs left guard for 8 yards (tackle by Nick Williams),0.610,1.140
3,3:30,2,2,OAK 33,14,17,Derek Carr pass complete short right to Trevor Davis for 15 yards (tackle by Roquan Smith),1.140,2.130
3,3:09,1,10,OAK 48,14,17,"Josh Jacobs right tackle for 2 yards (tackle by Ha Ha Clinton-Dix). Penalty on Rodney Hudson: Offensive Holding, 10 yards",2.130,1.600
3,2:47,1,18,OAK 40,14,17,Derek Carr pass complete short middle to Josh Jacobs for 4 yards (tackle by Danny Trevathan),1.600,1.040
3,2:06,2,14,OAK 44,14,17,Derek Carr pass incomplete short middle,1.040,0.370
3,2:01,3,14,OAK 44,14,17,Derek Carr pass incomplete short middle intended for Hunter Renfrow,0.370,-0.460
3,1:58,4,14,OAK 44,14,17,"A.J. Cole punts 43 yards, returned by Tarik Cohen for 71 yards (tackle by Keisean Nixon)",-0.460,-4.510
3,1:41,1,10,OAK 16,14,17,Chase Daniel pass complete short right to Anthony Miller for 10 yards (tackle by Erik Harris). Penalty on Allen Robinson: Illegal Shift (Offsetting) (no play),4.510,4.510
3,1:22,1,10,OAK 16,20,17,"Chase Daniel pass complete deep right to Allen Robinson for 16 yards, touchdown. Penalty on Anthony Miller: Taunting, 15 yards",4.510,7.000
3,1:16,,,OAK 15,21,17,Eddy Pineiro kicks extra point good,0.000,0.000
3,1:16,,,CHI 20,21,17,"Pat O'Donnell kicks off 72 yards, returned by Trevor Davis for 52 yards (tackle by Nick Kwiatkoski). Penalty on Anthony Miller: Offside on Free Kick, 5 yards",0.000,3.250
3,1:01,1,10,CHI 35,21,17,Josh Jacobs up the middle for 2 yards (tackle by Roy Robertson-Harris),3.250,2.970
3,0:26,2,8,CHI 33,21,17,Derek Carr pass complete short right to Josh Jacobs for 10 yards (tackle by Kyle Fuller),2.970,4.040
Quarter,Time,Down,ToGo,Location,CHI,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 23,21,17,Derek Carr pass complete short right to Darren Waller for 13 yards (tackle by Ha Ha Clinton-Dix),4.040,4.910
4,14:22,1,10,CHI 10,21,17,"Josh Jacobs right tackle for 3 yards (tackle by Danny Trevathan). Penalty on Jonathan Harris: Defensive Holding, 4 yards",4.910,6.510
4,13:58,1,3,CHI 3,21,17,"Derek Carr pass complete short left to Trevor Davis for 2 yards (tackle by Sherrick McManis). Trevor Davis fumbles (forced by Sherrick McManis), recovered by Prince Amukamara at CHI-1 (tackle by Rodney Hudson)",6.510,0.380
4,13:51,1,10,CHI 1,21,17,David Montgomery right guard for no gain (tackle by Lamarcus Joyner),-0.380,-0.780
4,13:15,2,10,CHI 1,21,17,David Montgomery up the middle for 6 yards (tackle by Josh Mauro),-0.780,-0.720
4,12:33,3,4,CHI 7,21,17,"Penalty on Charles Leno: False Start, 4 yards (no play)",-0.720,-1.190
4,12:32,3,8,CHI 3,21,17,Chase Daniel pass complete deep right to Allen Robinson for 32 yards (tackle by Erik Harris),-1.190,1.270
4,12:25,1,10,CHI 35,21,17,"David Montgomery right tackle for no gain (tackle by Nicholas Morrow). Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",1.270,0.610
4,12:04,1,20,CHI 25,21,17,Chase Daniel pass complete short left to Trey Burton for 4 yards (tackle by Daryl Worley),0.610,-0.090
4,11:26,2,16,CHI 29,21,17,"Chase Daniel pass short left is intercepted by Daryl Worley at CHI-34 and returned for 3 yards. Penalty on Maurice Hurst: Roughing the Passer, 15 yards (no play)",-0.090,1.860
4,11:20,1,10,CHI 44,21,17,Chase Daniel pass complete short right to Anthony Miller for 6 yards (tackle by Karl Joseph),1.860,2.130
4,10:40,2,4,CHI 50,21,17,Chase Daniel pass complete short left to Allen Robinson for 4 yards (tackle by Erik Harris),2.130,2.520
4,9:53,,,,,,Timeout #1 by Chicago Bears,,
4,9:53,1,10,OAK 46,21,17,David Montgomery left guard for 3 yards (tackle by Tahir Whitehead),2.520,2.380
4,9:15,2,7,OAK 43,21,17,Chase Daniel pass incomplete short right intended for J.P. Holtz,2.380,1.680
4,9:09,,,,,,Timeout #2 by Oakland Raiders,,
4,9:09,3,7,OAK 43,21,17,Chase Daniel pass complete short right to Trey Burton for 1 yard (tackle by Daryl Worley),1.680,0.460
4,8:22,4,6,OAK 42,21,17,Penalty on Josh Woods: False Start (Declined),0.460,0.460
4,7:55,4,6,OAK 42,21,17,Pat O'Donnell punts 39 yards downed by Cordarrelle Patterson,0.460,0.380
4,7:49,1,10,OAK 3,21,17,Josh Jacobs left guard for 15 yards (tackle by Eddie Jackson),-0.380,0.040
4,7:16,1,10,OAK 18,21,17,Derek Carr pass complete short right to Foster Moreau for 2 yards (tackle by Danny Trevathan),0.040,-0.130
4,6:43,2,8,OAK 20,21,17,Derek Carr pass incomplete short middle intended for Darren Waller,-0.130,-0.910
4,6:38,3,8,OAK 20,21,17,Derek Carr pass complete short right to Derek Carrier for 2 yards (tackle by Danny Trevathan),-0.910,-1.900
4,6:01,4,6,OAK 22,21,17,"A.J. Cole punts 45 yards, returned by Tarik Cohen for 16 yards (tackle by Dallin Leavitt). Penalty on Kevin Pierre-Louis: Running Into the Kicker, 5 yards (no play)",-1.900,-1.570
4,5:48,4,1,OAK 27,21,17,Erik Harris right guard for 4 yards (tackle by Eddie Jackson),-1.570,1.000
4,5:35,1,10,OAK 31,21,17,Josh Jacobs right tackle for 8 yards (tackle by Danny Trevathan),1.000,1.540
4,5:08,2,2,OAK 39,21,17,Josh Jacobs right tackle for 1 yard (tackle by Eddie Goldman),1.540,0.960
4,4:29,3,1,OAK 40,21,17,Derek Carr pass complete short left to Foster Moreau for 23 yards (tackle by Eddie Jackson),0.960,3.120
4,3:42,1,10,CHI 37,21,17,Josh Jacobs left tackle for 3 yards (tackle by Roquan Smith),3.120,2.980
4,2:57,2,7,CHI 34,21,17,Derek Carr pass complete short right to Hunter Renfrow for 12 yards (tackle by Roquan Smith),2.980,4.110
4,2:49,1,10,CHI 22,21,17,Josh Jacobs right tackle for 4 yards (tackle by Leonard Floyd),4.110,4.130
4,2:09,2,6,CHI 18,21,17,Derek Carr pass complete deep right to Foster Moreau for 16 yards (tackle by Roquan Smith),4.130,6.740
4,2:00,1,2,CHI 2,21,23,"Josh Jacobs right guard for 2 yards, touchdown",6.740,7.000
4,1:57,,,CHI 15,21,24,"Daniel Carlson kicks extra point good. Penalty on Eddie Goldman: Unnecessary Roughness, 15 yards",0.000,0.000
4,1:57,,,OAK 50,21,24,"Daniel Carlson kicks off 50 yards, touchback.",0.000,0.610
4,1:57,1,10,CHI 25,21,24,Chase Daniel pass complete deep left to Allen Robinson for 17 yards,0.610,1.730
4,1:53,1,10,CHI 42,21,24,Chase Daniel pass complete short middle to Allen Robinson for 5 yards (tackle by Erik Harris),1.730,1.860
4,1:33,2,5,CHI 47,21,24,Chase Daniel pass complete short left to Tarik Cohen for 6 yards (tackle by Daryl Worley),1.860,2.460
4,1:30,1,10,OAK 47,21,24,Chase Daniel pass incomplete short right intended for Javon Wims,2.460,1.910
4,1:22,,,,,,Timeout #3 by Oakland Raiders,,
4,1:22,2,10,OAK 47,21,24,Chase Daniel pass deep right intended for Anthony Miller is intercepted by Gareon Conley at OAK-23 and returned for 3 yards,1.910,-0.670
4,1:14,1,10,OAK 26,21,24,Josh Jacobs left guard for 2 yards (tackle by Roquan Smith),0.670,0.400
4,1:09,,,,,,Timeout #2 by Chicago Bears,,
4,1:09,2,8,OAK 28,21,24,Josh Jacobs up the middle for 3 yards (tackle by Khalil Mack),0.400,0.100
4,1:05,,,,,,Timeout #3 by Chicago Bears,,
4,1:05,3,5,OAK 31,21,24,Josh Jacobs right guard for 4 yards (tackle by Khalil Mack),0.100,-1.040
4,0:21,4,1,OAK 35,21,24,"A.J. Cole punts 46 yards, returned by Tarik Cohen for 1 yard (tackle by Curtis Riley)",-1.040,-0.280
4,0:13,1,10,CHI 20,21,24,Chase Daniel pass complete short right to Tarik Cohen for 7 yards (tackle by Nicholas Morrow),0.280,0.680
4,0:08,2,3,CHI 27,21,24,Chase Daniel pass incomplete short right intended for Allen Robinson,0.680,-0.030
4,0:03,3,3,CHI 27,21,24,Chase Daniel sacked by Maurice Hurst for -9 yards,-0.030,-2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
