Quarter,Time,Tm,Detail,MIA,KAN
1.0,13:07,Dolphins,Jay Fiedler 1 yard rush (Olindo Mare kick),7,0
,6:53,Chiefs,Tony Gonzalez 9 yard pass from Trent Green (Morten Andersen kick),7,7
,5:37,Chiefs,Morten Andersen 50 yard field goal,7,10
2.0,14:21,Dolphins,Olindo Mare 42 yard field goal,10,10
,12:37,Chiefs,Priest Holmes 25 yard rush (Morten Andersen kick),10,17
,9:23,Chiefs,Johnnie Morton 8 yard pass from Trent Green (Morten Andersen kick),10,24
,3:39,Dolphins,Olindo Mare 29 yard field goal,13,24
,0:00,Dolphins,Olindo Mare 25 yard field goal,16,24
3.0,11:33,Chiefs,Tony Gonzalez 42 yard pass from Trent Green (Morten Andersen kick),16,31
,9:15,Dolphins,Ricky Williams 3 yard rush (Olindo Mare kick),23,31
4.0,13:40,Chiefs,Tony Gonzalez 6 yard pass from Trent Green (Morten Andersen kick),23,38
,11:30,Dolphins,Rob Konrad 6 yard pass from Jay Fiedler (Olindo Mare kick),30,38
,7:33,Chiefs,Morten Andersen 24 yard field goal,30,41
,5:48,Chiefs,Bill Baber 3 yard pass from Trent Green (Morten Andersen kick),30,48
