#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:07,KAN 17,11,6:14,83,Touchdown
2,1,6:38,MIA 36,4,1:01,4,Field Goal
3,2,14:21,KAN 31,4,1:44,69,Touchdown
4,2,10:55,KAN 42,4,1:32,58,Touchdown
5,2,8:19,KAN 14,3,2:02,1,Punt
6,2,3:39,KAN 25,3,0:55,-3,Punt
7,3,15:00,KAN 20,7,3:27,80,Touchdown
8,3,9:15,KAN 19,8,4:40,32,Punt
9,3,3:15,KAN 39,8,4:35,61,Touchdown
10,4,11:30,KAN 34,3,0:52,-2,Punt
11,4,9:37,MIA 16,4,2:04,9,Field Goal
12,4,6:39,MIA 20,2,0:51,20,Touchdown
13,4,4:09,KAN 26,5,1:52,16,Punt
14,4,1:46,MIA 26,3,1:46,8,End of Game
