Quarter,Time,Tm,Detail,CHI,PHI
1.0,9:18,Bears,Matt Spaeth 5 yard pass from Jay Cutler (Robbie Gould kick),7,0
2.0,7:27,Bears,Robbie Gould 51 yard field goal,10,0
,2:04,Eagles,Alex Henery 47 yard field goal,10,3
,1:38,Eagles,Brian Rolle 22 yard defensive fumble return (Alex Henery kick),10,10
,0:43,Bears,Marion Barber III 2 yard rush (Robbie Gould kick),17,10
3.0,8:18,Eagles,Ronnie Brown 4 yard rush (Alex Henery kick),17,17
,5:52,Eagles,LeSean McCoy 33 yard rush (Alex Henery kick),17,24
,0:21,Bears,Robbie Gould 38 yard field goal,20,24
4.0,12:18,Bears,Earl Bennett 5 yard pass from Jay Cutler (Robbie Gould kick),27,24
,3:58,Bears,Robbie Gould 22 yard field goal,30,24
