Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
2,7:32,4,11,PHI 33,10,0,Robbie Gould 51 yard field goal good,1.150,3.000
2,,,,CHI 35,10,0,"Robbie Gould kicks off 67 yards, returned by Dion Lewis for 20 yards (tackle by Anthony Walters)",0.000,0.040
2,7:23,1,10,PHI 18,10,0,LeSean McCoy up the middle for -3 yards (tackle by Nick Roach),0.040,-0.930
2,6:48,2,13,PHI 15,10,0,Michael Vick pass complete short left to LeSean McCoy for 12 yards (tackle by D.J. Moore and Major Wright),-0.930,-0.020
2,6:10,3,1,PHI 27,10,0,LeSean McCoy up the middle for 1 yard (tackle by Brian Urlacher),-0.020,0.810
2,5:39,1,10,PHI 28,10,0,Michael Vick pass incomplete short right intended for Jeremy Maclin (defended by Brian Urlacher),0.810,0.260
2,5:34,2,10,PHI 28,10,0,LeSean McCoy up the middle for 1 yard (tackle by Brian Urlacher),0.260,-0.300
2,4:50,3,9,PHI 29,10,0,Michael Vick pass complete deep left to Jeremy Maclin for 31 yards (tackle by Chris Conte),-0.300,2.920
2,4:00,1,10,CHI 40,10,0,Michael Vick pass complete short middle to Brent Celek for 10 yards (tackle by Brian Urlacher),2.920,3.580
2,3:23,1,10,CHI 30,10,0,Michael Vick pass incomplete short middle intended for Ronnie Brown,3.580,3.030
2,3:19,2,10,CHI 30,10,0,Michael Vick for 3 yards (tackle by Nick Roach),3.030,2.740
2,2:41,3,7,CHI 27,10,0,Michael Vick sacked by Julius Peppers for -2 yards,2.740,1.500
2,2:09,4,9,CHI 29,10,3,Alex Henery 47 yard field goal good,1.500,3.000
2,,,,PHI 35,10,3,"Alex Henery kicks off 60 yards, returned by Johnny Knox for 15 yards (tackle by Keenan Clayton)",0.000,0.280
2,1:59,1,10,CHI 20,10,3,Jay Cutler pass incomplete deep middle intended for Devin Hester (defended by Asante Samuel),0.280,-0.270
2,1:51,2,10,CHI 20,10,3,Jay Cutler pass incomplete short left intended for Dane Sanzenbacher,-0.270,-0.960
2,1:48,3,10,CHI 20,10,9,"Jay Cutler pass complete short left to Matt Forte for 2 yards (tackle by Brian Rolle). Matt Forte fumbles (forced by Brian Rolle), recovered by Brian Rolle at CHI-22 and returned for 22 yards, touchdown",-0.960,-7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,,,,CHI 2,10,10,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,10,10,"Alex Henery kicks off 55 yards, returned by Devin Hester for 5 yards (tackle by Colt Anderson)",0.000,-0.220
2,1:34,1,10,CHI 15,10,10,"Penalty on Trent Cole: Neutral Zone Infraction, 5 yards (no play)",-0.220,0.680
2,1:34,1,5,CHI 20,10,10,"Jay Cutler pass incomplete short right intended for Earl Bennett. Penalty on Cullen Jenkins: Defensive Offside, 5 yards (no play)",0.680,0.610
2,1:30,1,10,CHI 25,10,10,"Penalty on Lance Louis: False Start, 5 yards (no play)",0.610,0.280
2,1:29,1,15,CHI 20,10,10,Jay Cutler pass complete short right to Matt Forte for 10 yards (tackle by Jamar Chaney),0.280,0.740
2,1:23,2,5,CHI 30,10,10,Jay Cutler pass incomplete short left intended for Dane Sanzenbacher,0.740,0.040
2,1:16,3,5,CHI 30,10,10,Jay Cutler pass incomplete short left intended for Matt Forte,0.040,-1.370
2,1:11,4,5,CHI 30,10,10,"Adam Podlesh punts 50 yards, returned by DeSean Jackson for -9 yards (tackle by Corey Graham). DeSean Jackson fumbles, recovered by Sam Hurd at PHI-11 and returned for 2 yards",-1.370,5.140
2,0:56,1,9,PHI 9,10,10,Jay Cutler pass complete short right to Matt Forte for 5 yards (tackle by Kurt Coleman),5.140,5.340
2,0:54,2,4,PHI 4,10,10,Jay Cutler pass incomplete short right intended for Devin Hester,5.340,4.490
2,0:50,3,4,PHI 4,10,10,"Jay Cutler pass incomplete short right intended for Matt Forte. Penalty on Jason Babin: Roughing the Passer, 2 yards (no play)",4.490,6.740
2,0:48,,,,10,10,Timeout #1 by Chicago Bears,0.000,6.740
2,0:48,1,2,PHI 2,16,10,"Marion Barber left tackle for 2 yards, touchdown",6.740,7.000
2,,,,PHI 2,17,10,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 35,17,10,"Robbie Gould kicks off 70 yards, returned by Dion Lewis for 25 yards (tackle by Dom DeCicco)",0.000,0.280
2,0:37,1,10,PHI 20,17,10,Michael Vick pass incomplete deep middle intended for Jeremy Maclin,0.280,-0.270
2,0:32,2,10,PHI 20,17,10,LeSean McCoy right end for 8 yards (tackle by Brian Urlacher),-0.270,0.100
2,0:22,,,,17,10,Timeout #2 by Philadelphia Eagles,0.000,0.100
2,0:22,3,2,PHI 28,17,10,Michael Vick pass complete short left to Brent Celek for 5 yards (tackle by Charles Tillman),0.100,1.140
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,17,10,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,PHI 20,17,10,Michael Vick pass complete short left to LeSean McCoy for 5 yards (tackle by Israel Idonije),0.280,0.410
3,14:18,2,5,PHI 25,17,10,Michael Vick right end for 7 yards (tackle by Brian Urlacher),0.410,1.070
3,13:49,1,10,PHI 32,17,10,Michael Vick pass complete deep middle to Brent Celek for 21 yards (tackle by Chris Conte),1.070,2.460
3,13:12,1,10,CHI 47,17,10,Michael Vick pass complete short left to Brent Celek for 6 yards (tackle by Brian Urlacher and Amobi Okoye),2.460,2.720
3,12:35,2,4,CHI 41,17,10,Michael Vick pass incomplete short right intended for Brent Celek,2.720,2.010
3,12:31,3,4,CHI 41,17,10,Michael Vick pass complete short left to Jason Avant for 12 yards (tackle by D.J. Moore),2.010,3.640
3,12:08,1,10,CHI 29,17,10,Michael Vick pass incomplete deep left intended for Jeremy Maclin (defended by Charles Tillman),3.640,3.100
3,12:04,2,10,CHI 29,17,10,Michael Vick pass complete short right to LeSean McCoy for 8 yards (tackle by Brian Urlacher),3.100,3.470
3,11:35,3,2,CHI 21,17,10,LeSean McCoy up the middle for 1 yard (tackle by Lance Briggs),3.470,2.270
3,11:06,4,1,CHI 20,17,10,LeSean McCoy left tackle for 4 yards (tackle by Major Wright),2.270,4.510
3,10:30,1,10,CHI 16,17,10,LeSean McCoy right end for 7 yards (tackle by Lance Briggs),4.510,5.160
3,9:49,2,3,CHI 9,17,10,LeSean McCoy right end for -3 yards (tackle by Henry Melton and Nick Roach),5.160,3.730
3,9:09,3,6,CHI 12,17,10,Michael Vick pass complete short middle to LeSean McCoy for 8 yards (tackle by Chris Conte),3.730,6.280
3,8:29,1,4,CHI 4,17,10,Michael Vick pass incomplete,6.280,5.340
3,8:22,2,4,CHI 4,17,16,"Ronnie Brown up the middle for 4 yards, touchdown",5.340,7.000
3,,,,CHI 2,17,17,Alex Henery kicks extra point good,0.000,0.000
3,,,,PHI 35,17,17,"Alex Henery kicks off 60 yards, returned by Devin Hester for 7 yards (tackle by Keenan Clayton)",0.000,-0.350
3,8:14,1,10,CHI 12,17,17,Matt Forte right tackle for 5 yards (tackle by Jamar Chaney),-0.350,-0.230
3,7:37,2,5,CHI 17,17,17,Matt Forte right end for 17 yards (tackle by Jamar Chaney),-0.230,1.200
3,6:52,1,10,CHI 34,17,17,"Matt Forte right end for 6 yards (tackle by Trent Cole). Matt Forte fumbles (forced by Trent Cole), recovered by Mike Patterson at CHI-41 (tackle by Matt Forte)",1.200,-2.850
,,,,,,,"PHI challenged the runner was down by contact ruling, and the original play was overturned.",,
3,6:44,1,10,CHI 41,17,17,Michael Vick right end for 8 yards (tackle by Julius Peppers),2.850,3.390
3,6:00,2,2,CHI 33,17,23,"LeSean McCoy left end for 33 yards, touchdown",3.390,7.000
3,,,,CHI 2,17,24,Alex Henery kicks extra point good,0.000,0.000
3,,,,PHI 35,17,24,"Alex Henery kicks off 59 yards, muffed by Johnny Knox, recovered by Johnny Knox at CHI-6, and returned for 6 yards. Penalty on Nick Reed: Offensive Holding",0.000,-0.380
3,5:46,1,10,CHI 6,17,24,Jay Cutler pass incomplete deep left intended for Roy E. Williams,-0.380,-0.780
3,5:37,2,10,CHI 6,17,24,Marion Barber up the middle for 17 yards (tackle by Jaiquawn Jarrett),-0.780,0.480
3,4:58,1,10,CHI 23,17,24,Marion Barber left tackle for 4 yards (tackle by Brandon Graham),0.480,0.470
3,4:20,2,6,CHI 27,17,24,Marion Barber right tackle for -2 yards (tackle by Derek Landri),0.470,-0.490
3,3:35,3,8,CHI 25,17,24,Jay Cutler pass complete deep middle to Earl Bennett for 28 yards (tackle by Kurt Coleman),-0.490,2.460
3,2:46,1,10,PHI 47,17,24,Jay Cutler pass complete short middle to Roy E. Williams for 18 yards (tackle by Kurt Coleman),2.460,3.640
3,1:56,,,,17,24,Timeout #1 by Chicago Bears,0.000,3.640
3,1:56,1,10,PHI 29,17,24,Marion Barber right guard for 3 yards (tackle by Kurt Coleman),3.640,3.510
3,1:20,2,7,PHI 26,17,24,Matt Forte up the middle for 6 yards (tackle by Jamar Chaney and Moise Fokou),3.510,3.600
3,0:30,3,1,PHI 20,17,24,Jay Cutler pass incomplete deep right intended for Kellen Davis,3.600,2.270
3,0:25,4,1,PHI 20,20,24,Robbie Gould 38 yard field goal good,2.270,3.000
3,,,,CHI 35,20,24,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
3,0:21,1,10,PHI 20,20,24,Michael Vick pass complete short left to Brent Celek for 6 yards (tackle by Lance Briggs),0.280,0.540
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,PHI 26,20,24,Michael Vick pass incomplete short left intended for Brent Celek (defended by Julius Peppers),0.540,-0.160
4,14:56,3,4,PHI 26,20,24,Michael Vick pass incomplete deep middle intended for DeSean Jackson,-0.160,-1.630
4,14:51,4,4,PHI 26,20,24,"Chas Henry punts 44 yards, returned by Devin Hester for 19 yards (tackle by Owen Schmitt)",-1.630,-2.190
4,14:39,1,10,CHI 49,20,24,"Matt Forte right end for 6 yards (tackle by Jamar Chaney). Penalty on Matt Spaeth: Offensive Holding, 10 yards (no play)",2.190,1.530
4,14:16,1,20,CHI 39,20,24,Jay Cutler pass complete short right to Marion Barber for 8 yards (tackle by Jamar Chaney),1.530,1.380
4,13:57,2,12,CHI 47,20,24,Jay Cutler pass complete short left to Earl Bennett for 22 yards (tackle by Dominique Rodgers-Cromartie),1.380,3.510
4,13:31,1,10,PHI 31,20,24,"Jay Cutler pass complete short right to Devin Hester for 12 yards (tackle by Darryl Tapp). Penalty on Darryl Tapp: Unnecessary Roughness, 10 yards",3.510,5.140
4,13:03,1,9,PHI 9,20,24,Matt Forte up the middle for 4 yards (tackle by Moise Fokou),5.140,5.150
4,12:22,2,5,PHI 5,26,24,"Jay Cutler pass complete short right to Earl Bennett for 5 yards, touchdown",5.150,7.000
4,,,,PHI 2,27,24,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 35,27,24,"Robbie Gould kicks off 60 yards, returned by Dion Lewis for 16 yards (tackle by Craig Steltz)",0.000,0.340
4,12:10,1,10,PHI 21,27,24,Michael Vick pass complete short left to Jeremy Maclin for 10 yards,0.340,1.000
4,11:52,1,10,PHI 31,27,24,Michael Vick pass complete short right to LeSean McCoy for 13 yards (tackle by Major Wright),1.000,1.860
4,11:11,1,10,PHI 44,27,24,Michael Vick pass complete short right to DeSean Jackson for 10 yards,1.860,2.520
4,10:48,1,10,CHI 46,27,24,LeSean McCoy up the middle for -4 yards (tackle by Israel Idonije),2.520,1.440
4,10:12,2,14,,27,24,Michael Vick pass complete short middle to Jason Avant for 8 yards (tackle by Brian Urlacher),1.440,1.820
4,9:35,3,6,CHI 42,27,24,Michael Vick pass incomplete short left intended for Jason Avant,1.820,0.460
4,9:28,4,6,CHI 42,27,24,Chas Henry pass incomplete short left intended for Colt Anderson,0.460,-1.730
4,9:25,1,10,CHI 42,27,24,Jay Cutler pass complete short right to Kellen Davis for -1 yards (tackle by Moise Fokou),1.730,1.050
4,8:41,2,11,CHI 41,27,24,Matt Forte right end for 14 yards (tackle by Kurt Coleman),1.050,2.590
4,8:07,1,10,PHI 45,27,24,Matt Forte right tackle for 9 yards (tackle by Jaiquawn Jarrett),2.590,3.260
4,7:20,2,1,PHI 36,27,24,Marion Barber right tackle for -1 yards (tackle by Mike Patterson),3.260,2.410
4,6:32,3,2,PHI 37,27,24,Jay Cutler pass complete short middle to Roy E. Williams for 14 yards (tackle by Dominique Rodgers-Cromartie),2.410,4.040
4,5:42,1,10,PHI 23,27,24,Matt Forte left end for -1 yards (tackle by Nnamdi Asomugha),4.040,3.360
4,5:02,2,11,PHI 24,27,24,Jay Cutler pass incomplete short middle intended for Roy E. Williams,3.360,2.680
4,4:58,,,,27,24,Timeout #1 by Philadelphia Eagles,0.000,2.680
4,4:58,3,11,PHI 24,27,24,"Jay Cutler pass incomplete deep left intended for Johnny Knox. Penalty on Nnamdi Asomugha: Defensive Pass Interference, 17 yards (no play)",2.680,5.600
4,4:53,1,7,PHI 7,27,24,Matt Forte up the middle for no gain (tackle by Trent Cole),5.600,4.760
4,4:09,2,7,PHI 7,27,24,Matt Forte up the middle for 3 yards (tackle by Cullen Jenkins),4.760,4.490
4,4:05,,,,27,24,Timeout #2 by Philadelphia Eagles,0.000,4.490
4,4:05,3,4,PHI 4,27,24,Jay Cutler pass incomplete (defended by Jason Babin),4.490,3.030
4,4:01,4,4,PHI 4,30,24,Robbie Gould 22 yard field goal good,3.030,3.000
4,,,,CHI 35,30,24,"Robbie Gould kicks off 60 yards, returned by Dion Lewis for 32 yards (tackle by Craig Steltz)",0.000,1.400
4,3:51,1,10,PHI 37,30,24,Michael Vick left tackle for 11 yards (tackle by Lance Briggs),1.400,2.130
4,3:16,1,10,PHI 48,30,24,Michael Vick pass incomplete intended for Riley Cooper (defended by Julius Peppers),2.130,1.580
4,3:08,2,10,PHI 48,30,24,Michael Vick pass complete short right to Jeremy Maclin for 13 yards (tackle by Tim Jennings),1.580,2.980
4,2:34,1,10,CHI 39,30,24,LeSean McCoy left end for no gain (tackle by Amobi Okoye),2.980,2.440
4,2:02,2,10,CHI 39,30,24,Michael Vick pass incomplete short right intended for DeSean Jackson (defended by Tim Jennings),2.440,1.750
4,1:59,3,10,CHI 39,30,24,Michael Vick pass incomplete short left intended for Jeremy Maclin,1.750,0.660
4,1:56,4,10,CHI 39,30,24,Michael Vick pass complete short right to Jeremy Maclin for 9 yards (tackle by D.J. Moore),0.660,-1.000
4,1:45,1,10,CHI 31,30,24,Matt Forte right end for 4 yards (tackle by Brandon Graham),1.000,1.000
4,1:42,,,,30,24,Timeout #3 by Philadelphia Eagles,0.000,1.000
4,1:42,2,6,CHI 35,30,24,Matt Forte right tackle for 4 yards (tackle by Kurt Coleman),1.000,0.830
4,0:56,3,2,CHI 39,30,24,Marion Barber left end for no gain (tackle by Jamar Chaney),0.830,-0.780
4,0:09,,,,30,24,Timeout #2 by Chicago Bears,0.000,-0.780
4,0:09,4,2,CHI 39,30,24,Adam Podlesh punts 23 yards,-0.780,-1.470
4,0:03,1,10,PHI 38,30,24,Michael Vick pass incomplete short left intended for DeSean Jackson,1.470,0.920
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
