Unnamed: 0,CHI,PHI
First Downs,22,20
Rush-Yds-TDs,34-164-1,23-119-2
Cmp-Att-Yd-TD-INT,18-32-208-2-0,21-39-213-0-1
Sacked-Yards,0-0,1-2
Net Pass Yards,208,211
Total Yards,372,330
Fumbles-Lost,3-2,1-1
Turnovers,2,2
Penalties-Yards,6-53,6-44
Third Down Conv.,7-14,8-14
Fourth Down Conv.,0-0,1-3
Time of Possession,33:27,26:33
