Unnamed: 0,JAX,IND
First Downs,27,19
Rush-Yds-TDs,31-168-1,25-63-0
Cmp-Att-Yd-TD-INT,24-29-257-2-1,20-29-288-4-1
Sacked-Yards,3-14,1-9
Net Pass Yards,243,279
Total Yards,411,342
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,8-64,2-15
Third Down Conv.,6-10,10-13
Fourth Down Conv.,1-1,0-0
Time of Possession,35:45,24:15
