Unnamed: 0,CIN,BAL
First Downs,20,22
Rush-Yds-TDs,23-136-0,31-157-2
Cmp-Att-Yd-TD-INT,19-31-169-2-0,16-26-264-2-0
Sacked-Yards,5-33,3-16
Net Pass Yards,136,248
Total Yards,272,405
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,9-78,9-110
Third Down Conv.,2-11,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,29:23,30:37
