Unnamed: 0,DEN,SDG
First Downs,18,20
Rush-Yds-TDs,51-208-0,36-185-0
Cmp-Att-Yd-TD-INT,9-18-143-1-0,19-36-188-1-0
Sacked-Yards,1-2,3-29
Net Pass Yards,141,159
Total Yards,349,344
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,9-63,4-30
Third Down Conv.,5-16,6-17
Fourth Down Conv.,0-0,0-0
Time of Possession,37:08,37:23
