Quarter,Time,Tm,Detail,DEN,SDG
1,11:34,Chargers,Nick Novak 53 yard field goal,0,3
2,7:58,Chargers,Antonio Gates 6 yard pass from Philip Rivers (Nick Novak kick),0,10
,0:55,Broncos,Eric Decker 18 yard pass from Tim Tebow (Matt Prater kick),7,10
3,9:30,Chargers,Nick Novak 25 yard field goal,7,13
,0:33,Broncos,Matt Prater 41 yard field goal,10,13
4,1:34,Broncos,Matt Prater 24 yard field goal,13,13
OT,0:29,Broncos,Matt Prater 37 yard field goal,16,13
