Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete to Troy Brown for 8 yards,0.280,0.810
1,14:35,2,2,NWE 28,0,0,Tom Brady pass complete to Marc Edwards for 4 yards (tackle by Tod McBride),0.810,1.070
1,13:58,1,10,NWE 32,0,0,Tom Brady pass complete to Christian Fauria for 10 yards (tackle by Marques Anderson),1.070,1.730
1,13:22,1,10,NWE 42,0,0,Tom Brady pass complete to Troy Brown for 5 yards (tackle by Marques Anderson),1.730,1.860
1,13:08,2,5,NWE 47,0,0,Antowain Smith left guard for 8 yards (tackle by Aaron Kampman and Na'il Diggs),1.860,2.590
1,12:30,1,10,GNB 45,0,0,Kevin Faulk right guard for 2 yards (tackle by Steve Warren and Hardy Nickerson),2.590,2.310
1,11:47,2,8,GNB 43,0,0,Tom Brady pass incomplete intended for David Patten is intercepted by Bryant Westbrook at GNB-7,2.310,0.380
1,11:41,1,10,GNB 7,0,0,Ahman Green middle for 4 yards (tackle by Bobby Hamilton),-0.380,-0.490
1,11:06,2,6,GNB 11,0,0,Brett Favre pass complete to Terry Glenn for 5 yards (tackle by Ty Law),-0.490,-0.370
1,10:36,3,1,GNB 16,0,0,Ahman Green left tackle for 5 yards (tackle by Otis Smith and Lawyer Milloy),-0.370,0.340
1,10:03,1,10,GNB 21,0,0,Brett Favre pass complete to Bubba Franks for 7 yards (tackle by Mike Vrabel),0.340,0.750
1,9:22,2,3,GNB 28,0,0,Ahman Green middle for 2 yards (tackle by Richard Seymour and Roman Phifer),0.750,0.300
1,8:48,3,1,GNB 30,0,0,Ahman Green middle for 3 yards (tackle by Bobby Hamilton and Steve Martin),0.300,1.140
1,8:10,1,10,GNB 33,0,0,Ahman Green middle for 5 yards (tackle by Roman Phifer and Lawyer Milloy),1.140,1.270
1,7:31,2,5,GNB 38,0,0,Brett Favre pass incomplete intended for Terry Glenn,1.270,0.560
1,7:27,3,5,GNB 38,0,0,Brett Favre pass complete to Donald Driver for 3 yards (tackle by Ty Law),0.560,-0.650
1,6:49,4,2,GNB 41,0,0,"Josh Bidwell punts 46 yards, returned by Kevin Faulk for 6 yards (tackle by Marcus Wilkins)",-0.650,-0.150
1,6:39,1,10,NWE 19,0,0,Tom Brady pass complete to Antowain Smith for no gain,0.150,-0.390
1,6:03,2,10,NWE 19,0,0,"Penalty on Kabeer Gbaja-Biamila: Encroachment, 5 yards (no play)",-0.390,0.340
1,5:47,2,5,NWE 24,0,0,Antowain Smith left end for 10 yards (tackle by Nate Wayne and Matt Bowen),0.340,1.200
1,5:12,1,10,NWE 34,0,0,Tom Brady pass incomplete intended for Deion Branch,1.200,0.660
1,5:06,2,10,NWE 34,0,0,Kevin Faulk middle for 9 yards (tackle by Marques Anderson and Matt Bowen). Penalty on Kabeer Gbaja-Biamila: Encroachment (Declined),0.660,1.160
1,4:51,3,1,NWE 43,0,0,Tom Brady middle for 3 yards (tackle by Gilbert Brown and Aaron Kampman),1.160,1.990
1,4:16,1,10,NWE 46,0,0,Tom Brady pass complete to Deion Branch for 3 yards (tackle by Gilbert Brown),1.990,1.860
1,3:42,2,7,NWE 49,0,0,Marc Edwards right guard for 2 yards (tackle by Na'il Diggs and Aaron Kampman),1.860,1.420
1,3:01,3,5,GNB 49,0,0,Tom Brady pass complete to Troy Brown for 7 yards (tackle by Marques Anderson),1.420,2.790
1,2:24,1,10,GNB 42,0,0,"Tom Brady pass complete to Deion Branch for 6 yards. Penalty on Deion Branch: Offensive Pass Interference, 10 yards (no play)",2.790,2.130
1,2:03,1,20,NWE 48,0,0,Tom Brady pass complete to Christian Fauria for 8 yards (tackle by Nate Wayne and Hardy Nickerson),2.130,1.970
1,1:28,2,12,GNB 44,0,0,"Tom Brady pass complete to Deion Branch for 28 yards (tackle by Matt Bowen). Penalty on Deion Branch: Illegal Touch Pass, 5 yards (no play)",1.970,1.300
1,0:52,2,17,GNB 49,0,0,Tom Brady pass complete to Kevin Faulk for 9 yards (tackle by Na'il Diggs),1.300,1.820
1,0:19,3,8,GNB 40,0,0,Tom Brady pass incomplete intended for Donald Hayes,1.820,0.590
1,0:14,4,8,GNB 40,0,0,"Ken Walter punts 28 yards, fair catch by Darrien Gordon",0.590,0.350
1,0:07,1,10,GNB 12,0,0,Ahman Green middle for 1 yard (tackle by Jarvis Green and Bobby Hamilton),-0.350,-0.700
Quarter,Time,Down,ToGo,Location,GNB,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,GNB 13,0,0,Brett Favre pass complete to Ahman Green for 8 yards (tackle by Ty Law),-0.700,-0.370
2,14:33,3,1,GNB 21,0,0,Ahman Green middle for no gain (tackle by Roman Phifer and Mike Vrabel),-0.370,-1.960
2,13:46,4,1,GNB 21,0,0,"Josh Bidwell punts 47 yards, returned by Kevin Faulk for 4 yards (tackle by Marcus Wilkins)",-1.960,-1.330
2,13:34,1,10,NWE 36,0,0,Antowain Smith left end for no gain (tackle by Marques Anderson),1.330,0.790
2,12:56,2,10,NWE 36,0,0,Tom Brady pass incomplete intended for David Patten,0.790,0.100
2,12:50,3,10,NWE 36,0,0,Tom Brady pass complete to Troy Brown for 13 yards (tackle by Tyrone Williams),0.100,2.190
2,12:10,1,10,NWE 49,0,0,Tom Brady pass complete to Donald Hayes for 9 yards (tackle by Marques Anderson and Tyrone Williams),2.190,2.860
2,11:38,2,1,GNB 42,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Matt Bowen and Todd Franz),2.860,3.380
2,11:15,1,10,GNB 33,0,0,Tom Brady pass complete to Troy Brown for 4 yards (tackle by Na'il Diggs),3.380,3.380
2,10:49,2,6,GNB 29,0,0,"Tom Brady pass complete to David Patten for 15 yards (tackle by Bryant Westbrook). Penalty on Bryant Westbrook: Face Mask (15 Yards), 15 yards (no play)",3.380,4.650
2,10:27,1,10,GNB 14,0,0,Antowain Smith middle for no gain (tackle by Rod Walker and Kabeer Gbaja-Biamila),4.650,4.000
2,9:53,2,10,GNB 14,0,0,Tom Brady pass incomplete intended for Antowain Smith,4.000,3.110
2,9:45,3,10,GNB 14,0,0,Tom Brady pass incomplete intended for Deion Branch,3.110,2.510
2,9:40,4,10,GNB 14,0,3,Adam Vinatieri 32 yard field goal good,2.510,3.000
2,9:40,,,NWE 30,0,3,"Adam Vinatieri kicks off 65 yards, returned by Javon Walker for 19 yards (tackle by Patrick Pass)",0.000,0.540
2,9:30,1,10,GNB 24,0,3,Ahman Green right tackle for 5 yards (tackle by Ted Johnson and Ty Law),0.540,0.670
2,8:54,2,5,GNB 29,0,3,Ahman Green left tackle for 11 yards (tackle by Otis Smith),0.670,1.600
2,8:18,1,10,GNB 40,0,3,Ahman Green right guard for 11 yards (tackle by Ted Johnson),1.600,2.320
2,7:42,1,10,NWE 49,0,3,Brett Favre pass complete to Bubba Franks for 15 yards (tackle by Willie McGinest and Ted Johnson),2.320,3.310
2,6:58,1,10,NWE 34,0,3,Brett Favre pass complete to William Henderson for 5 yards (tackle by Ted Johnson),3.310,3.450
2,6:20,2,5,NWE 29,0,3,Tony Fisher middle for 3 yards (tackle by Roman Phifer),3.450,3.140
2,5:38,3,2,NWE 26,0,3,Brett Favre pass incomplete intended for Terry Glenn (defended by Lawyer Milloy),3.140,1.860
2,5:31,4,2,NWE 26,0,3,"Penalty on Ben Kelly: Encroachment (Declined), Penalty on Richard Seymour: Illegal Use of Hands, 5 yards (no play)",1.860,4.170
2,5:27,1,10,NWE 21,0,3,Brett Favre pass incomplete intended for David Martin (defended by Willie McGinest),4.170,3.630
2,5:22,2,10,NWE 21,0,3,Ahman Green middle for 5 yards (tackle by Tebucky Jones and Roman Phifer),3.630,3.630
2,4:44,3,5,NWE 16,0,3,Brett Favre pass complete to Donald Driver for 11 yards (tackle by Ty Law),3.630,6.060
,,,,,,,"GNB challenged the ruling, and the original play was overturned.",,
2,4:28,1,5,NWE 5,0,3,Ahman Green right guard for 2 yards (tackle by Lawyer Milloy and Willie McGinest),6.060,5.530
2,3:49,2,3,NWE 3,6,3,"Brett Favre pass complete to William Henderson for 3 yards, touchdown",5.530,7.000
2,3:49,,,NWE 3,7,3,Ryan Longwell kicks extra point good,0.000,0.000
2,3:49,,,GNB 30,7,3,"Ryan Longwell kicks off 63 yards, returned by Kevin Faulk for 20 yards (tackle by Marcus Wilkins)",0.000,0.740
2,3:41,1,10,NWE 27,7,3,"Antowain Smith left end for 5 yards (tackle by Marques Anderson and Hardy Nickerson). Penalty on David Patten: Offensive Holding, 10 yards (no play)",0.740,-0.170
2,3:20,1,20,NWE 17,7,3,"Tom Brady for no gain. Tom Brady fumbles, recovered by Kabeer Gbaja-Biamila at NWE-8 (tackle by Mike Compton)",-0.170,-5.370
,,,,,,,"NWE challenged the ruling, and the play was upheld.",,
2,3:08,1,8,NWE 8,13,3,"Brett Favre pass complete to Ahman Green for 8 yards, touchdown",5.370,7.000
2,3:08,,,NWE 8,14,3,Ryan Longwell kicks extra point good,0.000,0.000
2,3:08,,,GNB 30,14,3,"Ryan Longwell kicks off 61 yards, returned by Patrick Pass for 20 yards (tackle by Bryant Westbrook)",0.000,0.870
2,2:56,1,10,NWE 29,14,3,Tom Brady pass incomplete intended for Deion Branch,0.870,0.330
2,2:51,2,10,NWE 29,14,3,Tom Brady pass incomplete intended for Kevin Faulk,0.330,-0.360
