Unnamed: 0,GNB,NWE
First Downs,20,20
Rush-Yds-TDs,36-158-1,22-123-0
Cmp-Att-Yd-TD-INT,17-27-147-3-0,24-44-183-1-3
Sacked-Yards,1-4,2-17
Net Pass Yards,143,166
Total Yards,301,289
Fumbles-Lost,1-0,2-1
Turnovers,0,4
Penalties-Yards,5-60,12-126
Third Down Conv.,5-14,6-13
Fourth Down Conv.,1-1,1-2
Time of Possession,32:13,27:47
