Quarter,Time,Tm,Detail,GNB,NWE
2.0,9:36,Patriots,Adam Vinatieri 32 yard field goal,0,3
,3:46,Packers,William Henderson 3 yard pass from Brett Favre (Ryan Longwell kick),7,3
,3:03,Packers,Ahman Green 8 yard pass from Brett Favre (Ryan Longwell kick),14,3
3.0,3:50,Packers,Bubba Franks 2 yard pass from Brett Favre (Ryan Longwell kick),21,3
4.0,12:09,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),28,3
,5:57,Patriots,David Givens 4 yard pass from Tom Brady (Adam Vinatieri kick),28,10
