Quarter,Time,Tm,Detail,STL,IND
1.0,12:12,Rams,Chris Long 45 yard defensive fumble return (Greg Zuerlein kick),7,0
2.0,14:30,Rams,Zac Stacy 1 yard rush (Greg Zuerlein kick),14,0
,10:28,Rams,Tavon Austin 98 yard punt return (Greg Zuerlein kick),21,0
,6:58,Rams,Tavon Austin 57 yard pass from Kellen Clemens (Greg Zuerlein kick),28,0
3.0,13:55,Rams,Tavon Austin 81 yard pass from Kellen Clemens (Greg Zuerlein kick),35,0
,5:15,Rams,Greg Zuerlein 32 yard field goal,38,0
,1:35,Colts,Donald Brown 13 yard pass from Andrew Luck (Coby Fleener pass from Andrew Luck),38,8
