Unnamed: 0,STL,IND
First Downs,12,21
Rush-Yds-TDs,37-140-1,14-18-0
Cmp-Att-Yd-TD-INT,9-16-247-2-0,31-52-421-1-4
Sacked-Yards,2-15,3-33
Net Pass Yards,232,388
Total Yards,372,406
Fumbles-Lost,2-1,1-1
Turnovers,1,5
Penalties-Yards,8-46,2-20
Third Down Conv.,7-15,2-12
Fourth Down Conv.,0-1,0-2
Time of Possession,30:38,29:22
