Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
2,13:37,1,10,IND 18,14,0,"Andrew Luck pass incomplete deep left intended for T.Y. Hilton. Penalty on Eugene Sims: Defensive Offside, 5 yards (no play)",0.040,0.880
2,13:31,1,5,IND 23,14,0,Andrew Luck pass incomplete short right intended for Coby Fleener,0.880,0.280
2,13:28,2,5,IND 23,14,0,Andrew Luck pass complete short left to Griff Whalen for 4 yards (tackle by James Laurinaitis),0.280,-0.020
2,12:53,3,1,IND 27,14,0,Andrew Luck pass complete short left to Darrius Heyward-Bey for 9 yards (tackle by Janoris Jenkins),-0.020,1.330
2,12:19,1,10,IND 36,14,0,Andrew Luck pass complete short left to Coby Fleener for 4 yards (tackle by Janoris Jenkins),1.330,1.330
2,11:39,2,6,IND 40,14,0,Andrew Luck pass complete short middle to Griff Whalen for 7 yards (tackle by Cortland Finnegan),1.330,2.060
2,11:08,1,10,IND 47,14,0,Andrew Luck pass incomplete deep middle intended for LaVon Brazill,2.060,1.520
2,11:00,2,10,IND 47,14,0,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,1.520,0.830
2,10:55,3,10,IND 47,14,0,Andrew Luck pass incomplete deep middle intended for Coby Fleener (defended by Darian Stewart),0.830,-0.260
2,10:48,4,10,IND 47,20,0,"Pat McAfee punts 51 yards, returned by Tavon Austin for 98 yards, touchdown",-0.260,-7.000
2,10:28,,,IND 2,21,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,10:28,,,STL 35,21,0,"Greg Zuerlein kicks off 73 yards, touchback",0.000,-0.280
2,10:28,1,10,IND 20,21,0,Andrew Luck up the middle for 1 yard (tackle by Chris Long),0.280,-0.130
2,9:55,2,9,IND 21,21,0,Andrew Luck left end for 7 yards (tackle by Robert Quinn),-0.130,0.100
2,9:17,3,2,IND 28,21,0,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey,0.100,-1.500
2,9:12,4,2,IND 28,21,0,"Pat McAfee punts 47 yards, muffed catch by Tavon Austin, recovered by Tavon Austin and returned for no gain",-1.500,-0.740
2,9:03,1,10,STL 27,21,0,Zac Stacy up the middle for 4 yards (tackle by Jerrell Freeman),0.740,0.740
2,8:25,2,6,STL 31,21,0,Zac Stacy up the middle for 9 yards (tackle by Cassius Vaughn),0.740,1.600
2,7:44,1,10,STL 40,21,0,Kellen Clemens pass incomplete short left intended for Cory Harkey,1.600,1.050
2,7:40,2,10,STL 40,21,0,Zac Stacy up the middle for 3 yards (tackle by Pat Angerer),1.050,0.760
2,7:06,3,7,STL 43,27,0,"Kellen Clemens pass complete deep left to Tavon Austin for 57 yards, touchdown",0.760,7.000
2,7:06,,,IND 2,28,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,7:06,,,STL 35,28,0,"Greg Zuerlein kicks off 67 yards, returned by David Reed for 15 yards (tackle by Cody Davis)",0.000,0.320
2,6:54,1,10,IND 13,28,0,Andrew Luck pass complete short left to Stanley Havili for 13 yards (tackle by Chris Long),-0.320,0.670
2,6:22,1,10,IND 26,28,0,Andrew Luck pass complete short right to T.Y. Hilton for 4 yards (tackle by Janoris Jenkins),0.670,0.670
2,5:48,2,6,IND 30,28,0,"Andrew Luck sacked by William Hayes for -12 yards. Andrew Luck fumbles (forced by William Hayes), recovered by Hugh Thornton at IND-28. Penalty on Kendall Langford: Defensive Offside, 5 yards (no play)",0.670,1.350
2,5:21,2,1,IND 35,28,0,Andrew Luck pass complete short right to Stanley Havili for 5 yards (tackle by James Laurinaitis),1.350,1.600
2,4:52,1,10,IND 40,28,0,Andrew Luck pass incomplete short left intended for Stanley Havili (defended by Jermelle Cudjo),1.600,1.050
2,4:46,2,10,IND 40,28,0,Andrew Luck pass complete short left to Stanley Havili for 7 yards (tackle by Cortland Finnegan and Janoris Jenkins),1.050,1.290
2,4:04,3,3,IND 47,28,0,Andrew Luck sacked by Robert Quinn for -11 yards,1.290,-0.980
2,3:30,4,14,IND 36,28,0,"Pat McAfee punts 43 yards, fair catch by Tavon Austin. Penalty on Stanley Havili: Offensive Holding, 10 yards",-0.980,-1.000
2,3:21,1,10,STL 31,28,0,Zac Stacy right guard for 5 yards (tackle by Montori Hughes),1.000,1.140
2,2:36,2,5,STL 36,28,0,Zac Stacy up the middle for 1 yard (tackle by Ricardo Mathews),1.140,0.560
2,2:00,3,4,STL 37,28,0,Zac Stacy up the middle for 4 yards (tackle by Pat Angerer),0.560,1.660
2,1:19,1,10,STL 41,28,0,Zac Stacy up the middle for 1 yard (tackle by Aubrayo Franklin),1.660,1.260
2,0:36,2,9,STL 42,28,0,Zac Stacy up the middle for 2 yards (tackle by Jerrell Freeman and Pat Angerer),1.260,0.830
Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,28,0,"Pat McAfee kicks off no gain, returned by Tavon Austin for 27 yards (tackle by Kavell Conner)",0.000,0.040
3,14:56,1,10,STL 18,28,0,Kellen Clemens pass incomplete short left intended for Cory Harkey,0.040,-0.490
3,14:51,2,10,STL 18,28,0,Zac Stacy up the middle for 1 yard (tackle by Jerrell Freeman and Pat Angerer),-0.490,-1.040
3,14:08,3,9,STL 19,34,0,"Kellen Clemens pass complete short right to Tavon Austin for 81 yards, touchdown",-1.040,7.000
3,14:08,,,IND 2,35,0,Greg Zuerlein kicks extra point good,0.000,0.000
3,14:08,,,STL 35,35,0,"Greg Zuerlein kicks off 72 yards, returned by David Reed for 20 yards (tackle by Chase Reynolds)",0.000,0.320
3,13:51,1,10,IND 13,35,0,Andrew Luck pass incomplete short middle intended for Trent Richardson,-0.320,-0.770
3,13:46,2,10,IND 13,35,0,Andrew Luck pass complete short right to Darrius Heyward-Bey for 8 yards (tackle by Trumaine Johnson),-0.770,-0.470
3,13:14,3,2,IND 21,35,0,Andrew Luck pass complete deep left to T.Y. Hilton for 65 yards (tackle by Janoris Jenkins),-0.470,4.650
3,12:33,1,10,STL 14,35,0,Trent Richardson up the middle for 5 yards (tackle by Jermelle Cudjo and Matt Conrath),4.650,4.900
3,12:04,2,5,STL 9,35,0,Andrew Luck pass incomplete short right intended for Griff Whalen,4.900,4.050
3,11:58,3,5,STL 9,35,0,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey is intercepted by Trumaine Johnson at STL-0,4.050,-0.280
3,11:53,1,10,STL 20,35,0,Zac Stacy up the middle for no gain (tackle by Erik Walden and Antoine Bethea),0.280,-0.270
3,11:15,2,10,STL 20,35,0,Kellen Clemens pass incomplete short left intended for Chris Givens (defended by Vontae Davis),-0.270,-0.960
3,11:11,3,10,STL 20,35,0,Kellen Clemens pass complete short right to Zac Stacy for 2 yards (tackle by Pat Angerer),-0.960,-1.900
3,10:37,4,8,STL 22,35,0,"Johnny Hekker punts 43 yards, returned by LaVon Brazill for 2 yards (tackle by Ray Ray Armstrong)",-1.900,-1.400
3,10:27,1,10,IND 37,35,0,Andrew Luck pass complete short left to T.Y. Hilton for 12 yards (tackle by Trumaine Johnson). Penalty on Chris Long: Defensive Offside (Declined),1.400,2.190
3,10:11,1,10,IND 49,35,0,Andrew Luck pass incomplete deep middle intended for Coby Fleener is intercepted by James Laurinaitis at STL-32 and returned for 9 yards (tackle by Donald Brown),2.190,-1.660
3,10:01,1,10,STL 41,35,0,Kellen Clemens pass complete short right to Cory Harkey for 14 yards (tackle by Antoine Bethea),1.660,2.590
3,9:19,1,10,IND 45,35,0,Zac Stacy up the middle for 1 yard (tackle by Montori Hughes),2.590,2.180
3,8:39,2,9,IND 44,35,0,Kellen Clemens pass complete short right to Zac Stacy for 4 yards (tackle by Jerrell Freeman),2.180,2.010
3,7:54,3,5,IND 40,35,0,Kellen Clemens pass complete deep left to Jared Cook for 17 yards (tackle by LaRon Landry),2.010,4.040
3,7:13,1,10,IND 23,35,0,Benny Cunningham up the middle for 4 yards (tackle by Jerrell Freeman),4.040,4.050
3,6:36,2,6,IND 19,35,0,Benny Cunningham up the middle for -1 yards (tackle by Erik Walden and Cory Redding),4.050,3.200
3,5:58,3,7,IND 20,35,0,Zac Stacy up the middle for 6 yards (tackle by Jerrell Freeman),3.200,2.660
3,5:19,4,1,IND 14,38,0,Greg Zuerlein 32 yard field goal good,2.660,3.000
3,5:19,,,STL 35,38,0,"Greg Zuerlein kicks off 74 yards, touchback",0.000,-0.280
3,5:15,1,10,IND 20,38,0,Andrew Luck pass complete short middle to Darrius Heyward-Bey for 13 yards (tackle by Michael Brockers and Cortland Finnegan),0.280,1.140
3,4:50,1,10,IND 33,38,0,Andrew Luck pass complete short middle to Trent Richardson for 9 yards (tackle by Alec Ogletree),1.140,1.810
3,4:28,2,1,IND 42,38,0,Andrew Luck pass complete short middle to Trent Richardson for 20 yards (tackle by Alec Ogletree),1.810,3.050
3,3:55,1,10,STL 38,38,0,"Andrew Luck up the middle for 5 yards (tackle by Cortland Finnegan). Penalty on Anthony Castonzo: Offensive Holding, 10 yards (no play)",3.050,2.390
3,3:30,1,20,STL 48,38,0,Andrew Luck pass complete short left to Coby Fleener for 12 yards (tackle by Alec Ogletree),2.390,2.780
3,3:04,2,8,STL 36,38,0,Andrew Luck pass complete short middle to Coby Fleener for 10 yards (tackle by James Laurinaitis),2.780,3.840
3,2:34,1,10,STL 26,38,0,Andrew Luck pass complete short middle to Donald Brown for 6 yards (tackle by Cortland Finnegan),3.840,4.110
3,2:08,2,4,STL 20,38,0,Andrew Luck pass complete short middle to T.Y. Hilton for 7 yards (tackle by Alec Ogletree),4.110,4.710
3,1:42,1,10,STL 13,38,6,"Andrew Luck pass complete short middle to Donald Brown for 13 yards, touchdown",4.710,7.000
3,1:42,,,,38,8,"Two Point Attempt: Andrew Luck pass complete to Coby Fleener, conversion succeeds",0.000,1.000
3,1:42,,,IND 35,38,8,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
3,1:35,1,10,STL 20,38,8,Zac Stacy right end for -1 yards (tackle by Robert Mathis),0.280,-0.460
3,0:50,2,11,STL 19,38,8,Kellen Clemens pass incomplete short right intended for Jared Cook,-0.460,-1.140
3,0:46,3,11,STL 19,38,8,Kellen Clemens pass incomplete short left intended for Zac Stacy,-1.140,-2.140
3,0:40,4,11,STL 19,38,8,"Johnny Hekker punts 61 yards, returned by LaVon Brazill for 17 yards (tackle by Johnny Hekker)",-2.140,-1.400
3,0:26,1,10,IND 37,38,8,Andrew Luck pass incomplete,1.400,0.860
3,0:20,2,10,IND 37,38,8,Andrew Luck pass complete short right to Coby Fleener for 7 yards (tackle by James Laurinaitis),0.860,1.090
Quarter,Time,Down,ToGo,Location,STL,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,IND 44,38,8,"Penalty on Robert Quinn: Neutral Zone Infraction, 5 yards (no play)",1.090,2.190
4,15:00,1,10,IND 49,38,8,Andrew Luck pass complete deep right to T.Y. Hilton for 21 yards,2.190,3.580
4,14:40,1,10,STL 30,38,8,Andrew Luck pass complete short right to Donald Brown for 26 yards (tackle by Janoris Jenkins),3.580,6.280
4,14:12,1,4,STL 4,38,8,Andrew Luck pass complete short left to David Reed for 2 yards (tackle by Cortland Finnegan),6.280,5.720
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned.",,
4,13:53,2,2,STL 2,38,8,"Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey. Penalty on Janoris Jenkins: Defensive Pass Interference, 1 yards (no play)",5.720,6.970
4,13:49,1,1,STL 1,38,8,Andrew Luck sacked by Chris Long for -9 yards,6.970,4.190
4,13:17,2,10,STL 10,38,8,Andrew Luck up the middle for 4 yards (tackle by Cortland Finnegan),4.190,4.040
4,12:45,3,6,STL 6,38,8,Andrew Luck pass incomplete short left intended for Griff Whalen (defended by Rodney McLeod),4.040,2.990
4,12:40,4,6,STL 6,38,8,Andrew Luck up the middle for 5 yards (tackle by James Laurinaitis and Robert Quinn),2.990,0.380
4,12:30,1,10,STL 1,38,8,Kellen Clemens up the middle for 2 yards (tackle by Fili Moala and Montori Hughes),-0.380,-0.630
4,11:51,2,8,STL 3,38,8,Zac Stacy up the middle for 2 yards (tackle by Robert Mathis),-0.630,-0.950
4,11:09,3,6,STL 5,38,8,Zac Stacy up the middle for 1 yard (tackle by Jerrell Freeman and Antoine Bethea),-0.950,-0.950
4,10:22,3,6,STL 5,38,8,Timeout #1 by St. Louis Rams,-0.950,-2.490
4,10:22,4,5,STL 6,38,8,"Johnny Hekker punts 42 yards, returned by LaVon Brazill for 6 yards (tackle by Ray Ray Armstrong)",-2.490,-2.790
4,10:13,1,10,STL 42,38,8,Andrew Luck pass complete short left to Trent Richardson for 4 yards (tackle by Will Witherspoon),2.790,2.780
4,9:52,2,6,STL 38,38,8,Andrew Luck pass complete deep middle to Griff Whalen for 25 yards (tackle by Rodney McLeod),2.780,4.710
4,9:22,1,10,STL 13,38,8,Andrew Luck pass incomplete deep middle intended for Coby Fleener is intercepted by Will Witherspoon at STL--4 and returned for 20 yards (tackle by Andrew Luck),4.710,0.140
4,9:12,1,10,STL 16,38,8,Zac Stacy up the middle for 8 yards (tackle by Vontae Davis),-0.140,0.550
4,8:30,2,2,STL 24,38,8,Zac Stacy up the middle for 3 yards (tackle by Jerrell Freeman),0.550,0.740
4,7:46,1,10,STL 27,38,8,Zac Stacy left tackle for -4 yards (tackle by Cory Redding),0.740,-0.340
4,7:02,2,14,STL 23,38,8,Zac Stacy right end for -3 yards (tackle by Bjoern Werner),-0.340,-1.420
4,6:17,3,17,STL 20,38,8,Zac Stacy up the middle for 4 yards (tackle by Jerrell Freeman),-1.420,-1.420
4,5:32,3,17,STL 20,38,8,Timeout #2 by St. Louis Rams,-1.420,-1.770
4,5:32,4,13,STL 24,38,8,"Johnny Hekker punts 47 yards, fair catch by LaVon Brazill",-1.770,-0.870
4,5:24,1,10,IND 29,38,8,Matt Hasselbeck pass complete short right to LaVon Brazill for 11 yards (tackle by Trumaine Johnson),0.870,1.600
4,5:02,1,10,IND 40,38,8,Matt Hasselbeck pass complete short right to Dan Herron for 57 yards (tackle by Cortland Finnegan),1.600,6.510
4,4:21,1,3,STL 3,38,8,Dan Herron up the middle for no gain (tackle by Darian Stewart),6.510,5.530
4,3:44,2,3,STL 3,38,8,Matt Hasselbeck pass incomplete short right intended for LaVon Brazill,5.530,4.720
4,3:40,3,3,STL 3,38,8,Matt Hasselbeck pass incomplete short right intended for LaVon Brazill (defended by Trumaine Johnson),4.720,3.040
4,3:37,4,3,STL 3,38,8,Matt Hasselbeck pass incomplete short right intended for LaVon Brazill is intercepted by William Hayes at STL-0 and returned for 5 yards,3.040,0.380
4,3:29,1,10,STL 5,38,8,Benny Cunningham left end for 56 yards (tackle by Antoine Bethea),-0.380,2.980
4,2:38,1,10,IND 39,38,8,Benny Cunningham up the middle for -1 yards (tackle by Kelvin Sheppard),2.980,2.300
4,2:00,2,11,IND 40,38,8,Benny Cunningham up the middle for 3 yards (tackle by Kelvin Sheppard and Andy Studebaker),2.300,2.020
4,1:16,3,8,IND 37,38,8,Benny Cunningham up the middle for 3 yards (tackle by Bjoern Werner),2.020,1.070
4,1:16,4,5,IND 34,38,8,"Penalty on Kellen Clemens: Delay of Game, 5 yards (no play)",1.070,0.660
4,0:25,4,10,IND 39,38,8,Kellen Clemens kneels for no gain,0.660,-1.530
4,0:24,1,10,IND 39,38,8,Matt Hasselbeck kneels for -1 yards,1.530,0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
