Unnamed: 0,NYG,PHI
First Downs,20,22
Rush-Yds-TDs,19-57-0,36-191-0
Cmp-Att-Yd-TD-INT,24-42-309-2-1,19-30-241-1-0
Sacked-Yards,0-0,2-10
Net Pass Yards,309,231
Total Yards,366,422
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,7-55,5-49
Third Down Conv.,2-10,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,26:39,33:21
