Unnamed: 0,NOR,ATL
First Downs,30,28
Rush-Yds-TDs,28-139-3,25-123-1
Cmp-Att-Yd-TD-INT,29-42-333-1-1,31-43-448-3-0
Sacked-Yards,0-0,1-3
Net Pass Yards,333,445
Total Yards,472,568
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,3-27,10-96
Third Down Conv.,8-13,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:25,31:18
