Quarter,Time,Tm,Detail,NOR,ATL
1,10:33,Saints,Shayne Graham 31 yard field goal,3,0
,4:39,Saints,Shayne Graham 50 yard field goal,6,0
2,11:46,Saints,Khiry Robinson 2 yard rush (Shayne Graham kick),13,0
,4:06,Falcons,Roddy White 2 yard pass from Matt Ryan (Matt Bryant kick),13,7
,0:20,Saints,Brandin Cooks 3 yard pass from Drew Brees (Shayne Graham kick),20,7
,0:00,Falcons,Matt Bryant 40 yard field goal,20,10
3,9:22,Falcons,Levine Toilolo 1 yard pass from Matt Ryan (Matt Bryant kick),20,17
,0:21,Falcons,Antone Smith 54 yard pass from Matt Ryan (Matt Bryant kick),20,24
4,8:46,Saints,Mark Ingram 3 yard rush (Shayne Graham kick),27,24
,2:50,Falcons,Jacquizz Rodgers 17 yard rush (Matt Bryant kick),27,31
,1:20,Saints,Mark Ingram 3 yard rush (Shayne Graham kick),34,31
,0:00,Falcons,Matt Bryant 51 yard field goal,34,34
OT,13:17,Falcons,Matt Bryant 52 yard field goal,34,37
