Unnamed: 0,KAN,SDG
First Downs,16,26
Rush-Yds-TDs,23-114-1,34-94-2
Cmp-Att-Yd-TD-INT,20-33-181-1-1,22-29-332-2-0
Sacked-Yards,1-11,0-0
Net Pass Yards,170,332
Total Yards,284,426
Fumbles-Lost,4-3,1-1
Turnovers,4,1
Penalties-Yards,5-25,8-55
Third Down Conv.,3-11,4-9
Fourth Down Conv.,0-1,0-0
Time of Possession,24:40,35:20
