Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Ryan Succop kicks off 73 yards, returned by Darren Sproles for 10 yards (tackle by Quinten Lawrence)",0.000,-0.380
1,14:57,1,10,SDG 7,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Brandon Carr),-0.380,-0.630
1,14:23,2,8,SDG 9,0,0,Philip Rivers pass incomplete deep middle intended for Vincent Jackson (defended by Brandon Flowers),-0.630,-1.190
1,14:15,3,8,SDG 9,0,0,Philip Rivers pass incomplete,-1.190,-2.490
1,14:09,4,8,SDG 9,0,0,Mike Scifres punts 47 yards,-2.490,-1.860
1,14:00,1,10,KAN 44,0,0,Jamaal Charles middle for 5 yards (tackle by Eric Weddle and Kevin Ellison),1.860,1.990
1,13:21,2,5,KAN 49,0,0,Matt Cassel pass complete short right to Mike Cox for 8 yards (tackle by Shawne Merriman),1.990,2.720
1,13:01,1,10,SDG 43,0,0,Matt Cassel pass complete short left to Lance Long for 6 yards (tackle by Antonio Cromartie),2.720,2.990
1,12:25,2,4,SDG 37,0,0,Jamaal Charles middle for -4 yards (tackle by Shaun Phillips and Alfonso Boone),2.990,1.750
1,12:03,,,,0,0,Timeout #1 by San Diego Chargers,0.000,1.750
1,12:03,3,8,SDG 41,0,0,Matt Cassel pass incomplete short right intended for Lance Long,1.750,0.530
1,11:59,4,8,SDG 41,0,0,Dustin Colquitt punts 35 yards,0.530,0.380
1,11:48,1,10,SDG 6,0,0,LaDainian Tomlinson for 5 yards (tackle by Andy Studebaker),-0.380,-0.420
1,11:29,2,5,SDG 11,0,0,Philip Rivers pass complete short right to Mike Tolbert for 2 yards (tackle by Brandon Flowers and Andy Studebaker),-0.420,-0.600
1,10:47,3,3,SDG 13,0,0,Philip Rivers pass incomplete short left intended for Vincent Jackson (defended by Brandon Carr),-0.600,-2.490
1,10:42,4,3,SDG 13,0,0,"Mike Scifres punts 46 yards, returned by Bobby Wade for 2 yards (tackle by David Binn)",-2.490,-1.800
1,10:32,1,10,KAN 43,0,0,Matt Cassel pass complete short right to Jamaal Charles for 2 yards (tackle by Paul Oliver and Kevin Burnett),1.800,1.520
1,9:49,2,8,KAN 45,0,0,Matt Cassel pass complete short left to Leonard Pope for -3 yards (tackle by Kevin Burnett and Larry English),1.520,0.430
1,9:19,3,11,KAN 42,0,0,Matt Cassel pass complete short left to Bobby Wade for 12 yards (tackle by Antonio Cromartie),0.430,2.520
1,9:00,1,10,SDG 46,0,0,Tim Castille middle for -2 yards (tackle by Brandon Siler),2.520,1.710
1,8:23,2,12,SDG 48,0,0,Jamaal Charles right end for 3 yards (tackle by Ian Scott),1.710,1.420
1,7:55,3,9,SDG 45,0,0,Matt Cassel pass incomplete short right intended for Brad Cottam is intercepted by Quentin Jammer at SDG-39,1.420,-1.530
1,7:48,1,10,SDG 39,0,0,LaDainian Tomlinson middle for 6 yards (tackle by Demorrio Williams),1.530,1.800
1,7:11,2,4,SDG 45,0,0,LaDainian Tomlinson middle for 5 yards (tackle by Jon McGraw),1.800,2.260
1,6:32,1,10,,0,0,Philip Rivers pass complete short middle to Antonio Gates for 16 yards (tackle by Mike Brown),2.260,3.310
1,5:48,1,10,KAN 34,0,0,Vincent Jackson left end for 12 yards (tackle by Tamba Hali),3.310,4.110
1,5:06,1,10,KAN 22,0,0,LaDainian Tomlinson middle for 3 yards (tackle by Demorrio Williams),4.110,3.970
1,4:24,2,7,KAN 19,0,0,Philip Rivers pass incomplete short left intended for Malcom Floyd,3.970,3.260
1,4:19,3,7,KAN 19,0,6,"Philip Rivers pass complete short middle to Antonio Gates for 19 yards, touchdown. Penalty on Jovan Belcher: Defensive Holding (Declined)",3.260,7.000
1,,,,KAN 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 60 yards, returned by Jamaal Charles for 16 yards (tackle by Mike Tolbert)",0.000,0.670
1,4:07,1,10,KAN 26,0,7,Matt Cassel pass incomplete short left intended for Bobby Wade,0.670,0.130
1,4:04,2,10,KAN 26,0,7,Matt Cassel pass complete short left to Lance Long for 9 yards (tackle by Steve Gregory),0.130,0.630
1,3:40,3,1,KAN 35,0,7,Matt Cassel pass incomplete short right intended for Bobby Wade (defended by Shaun Phillips),0.630,-1.040
1,3:36,4,1,KAN 35,0,7,"Dustin Colquitt punts 43 yards, returned by Darren Sproles for no gain. Penalty on Kassim Osgood: Offensive Holding, 12 yards",-1.040,0.380
1,3:25,1,10,SDG 10,0,7,LaDainian Tomlinson right end for 5 yards (tackle by Ron Edwards and Glenn Dorsey),-0.380,-0.350
1,2:46,2,5,SDG 15,0,7,Philip Rivers pass complete short right to Vincent Jackson for 11 yards (tackle by Brandon Flowers),-0.350,0.670
1,2:05,1,10,SDG 26,0,7,Philip Rivers pass complete short middle to LaDainian Tomlinson for 5 yards (tackle by Mike Brown and Tamba Hali),0.670,0.810
1,1:26,2,5,SDG 31,0,7,Philip Rivers pass complete short left to Darren Sproles for 15 yards (tackle by Mike Brown),0.810,1.990
1,0:38,1,10,SDG 46,0,7,Philip Rivers pass complete short left to Jacob Hester for 3 yards (tackle by Tamba Hali and Brandon Carr),1.990,1.860
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 49,0,7,Darren Sproles right guard for 2 yards (tackle by Derrick Johnson and Glenn Dorsey),1.860,1.420
2,14:23,3,5,KAN 49,0,7,Philip Rivers left end for 4 yards (tackle by Derrick Johnson). Penalty on Darren Sproles: Chop Block (Declined),1.420,0.270
2,14:13,4,1,KAN 45,0,7,"Mike Scifres punts 36 yards, fair catch by Bobby Wade",0.270,0.380
2,14:06,1,10,KAN 9,0,7,Matt Cassel pass complete short left to Chris Chambers for 14 yards (tackle by Antonio Cromartie),-0.380,0.480
2,13:29,1,10,KAN 23,0,7,Jamaal Charles right end for 10 yards (tackle by Eric Weddle),0.480,1.140
2,12:46,1,10,KAN 33,0,7,Matt Cassel pass incomplete short right intended for Chris Chambers,1.140,0.590
2,12:41,2,10,KAN 33,0,7,Matt Cassel pass complete short right to Chris Chambers for 10 yards (tackle by Quentin Jammer),0.590,1.800
2,11:58,1,10,KAN 43,0,7,"Jamaal Charles right end for 31 yards (tackle by Antoine Cason and Jacques Cesaire). Penalty on Antoine Cason: Face Mask (15 Yards), 13 yards",1.800,4.710
2,11:28,1,10,SDG 13,0,7,Matt Cassel pass complete short middle to Tim Castille for 6 yards (tackle by Brandon Siler),4.710,5.150
2,10:55,2,4,SDG 7,0,7,Matt Cassel pass incomplete short middle intended for Brad Cottam,5.150,4.330
2,10:53,3,4,SDG 7,6,7,"Matt Cassel pass complete short left to Chris Chambers for 7 yards, touchdown",4.330,7.000
2,,,,SDG 2,7,7,Ryan Succop kicks extra point good,0.000,0.000
2,,,,KAN 30,7,7,"Ryan Succop kicks off 67 yards, returned by Darren Sproles for 27 yards (tackle by Tim Castille)",0.000,0.940
2,10:39,1,10,SDG 30,7,7,Philip Rivers pass complete short left to Antonio Gates for 16 yards (tackle by Mike Brown),0.940,1.990
2,10:18,1,10,SDG 46,7,7,Philip Rivers pass complete deep middle to Malcom Floyd for 53 yards (tackle by Brandon Flowers),1.990,6.970
2,10:09,,,,7,7,Timeout #2 by San Diego Chargers,0.000,6.970
2,10:09,1,1,KAN 1,7,13,"LaDainian Tomlinson right tackle for 1 yard, touchdown",6.970,7.000
2,,,,KAN 2,7,14,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,14,"Nate Kaeding kicks off 66 yards, returned by Quinten Lawrence for 12 yards (tackle by Legedu Naanee)",0.000,-0.140
2,10:00,1,10,KAN 16,7,14,Matt Cassel pass complete short left to Chris Chambers for 5 yards (tackle by Antonio Cromartie),-0.140,0.150
2,9:23,2,5,KAN 21,7,14,Jamaal Charles left end for 14 yards (tackle by Stephen Cooper and Antonio Cromartie),0.150,1.270
2,9:01,1,10,KAN 35,7,14,Jamaal Charles right end for 5 yards (tackle by Larry English),1.270,1.400
