Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,NYG 20,0,0,"Derrick Ward right guard for 9 yards (tackle by Sean Considine and Chris Gocong). Penalty on Shaun O'Hara: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,14:41,1,20,NYG 10,0,0,Eli Manning pass incomplete short middle intended for Plaxico Burress (defended by Quintin Mikell),-0.760,-1.510
1,14:29,2,20,NYG 10,0,0,Derrick Ward right tackle for no gain (tackle by Takeo Spikes and Chris Gocong),-1.510,-2.590
1,13:45,3,20,NYG 10,0,0,Eli Manning pass complete short left to Derrick Ward for 6 yards (tackle by Sheldon Brown),-2.590,-2.390
1,13:13,4,14,NYG 16,0,0,"Jeff Feagles punts 39 yards, returned by Reno Mahe for 6 yards (tackle by Reuben Droughns). Reno Mahe fumbles, recovered by Tony Hunt at PHI-46 (tackle by Antonio Pierce). Penalty on Jason Avant: Offensive Holding, 10 yards",-2.390,-1.270
1,12:58,1,10,PHI 35,0,0,Donovan McNabb pass incomplete short middle intended for Correll Buckhalter,1.270,0.720
1,12:49,2,10,PHI 35,0,0,Donovan McNabb pass complete short right to Reggie Brown for 5 yards (tackle by Sam Madison),0.720,0.700
1,12:13,3,5,PHI 40,0,0,Donovan McNabb sacked by Justin Tuck for -6 yards,0.700,-1.110
1,11:58,4,11,PHI 34,0,0,"Saverio Rocca punts 44 yards, returned by R.W. McQuarters for 7 yards (tackle by Quintin Mikell)",-1.110,-0.870
1,11:45,1,10,NYG 29,0,0,Eli Manning pass incomplete short middle intended for Amani Toomer,0.870,0.330
1,11:40,2,10,NYG 29,0,0,Eli Manning pass complete short left to Amani Toomer for 12 yards (tackle by Sheldon Brown),0.330,1.660
1,11:04,1,10,NYG 41,0,0,Derrick Ward right tackle for no gain (tackle by Jevon Kearse),1.660,1.120
1,10:26,2,10,NYG 41,0,0,Derrick Ward right tackle for 5 yards (tackle by Will James and Quintin Mikell),1.120,1.090
1,9:38,3,5,NYG 46,0,0,Eli Manning pass complete short middle to Amani Toomer for 6 yards (tackle by Takeo Spikes),1.090,2.390
1,8:58,1,10,PHI 48,0,0,"Eli Manning pass complete short right to Plaxico Burress for no gain. Penalty on Mike Patterson: Defensive Offside, 5 yards (no play)",2.390,3.120
1,8:26,1,5,PHI 43,0,0,Eli Manning pass complete short left to Plaxico Burress for 10 yards (tackle by Sheldon Brown),3.120,3.380
1,7:40,1,10,PHI 33,0,0,Eli Manning pass complete short middle to Derrick Ward for 10 yards (tackle by Omar Gaither),3.380,4.040
1,7:08,1,10,PHI 23,0,0,Eli Manning pass complete short right to Plaxico Burress for 5 yards (tackle by Will James),4.040,4.210
1,6:42,2,5,PHI 18,0,0,Derrick Ward right tackle for 4 yards (tackle by Sheldon Brown and Omar Gaither),4.210,4.280
1,6:01,3,1,PHI 14,0,0,Reuben Droughns right guard for -2 yards (tackle by Mike Patterson),4.280,2.480
1,5:21,4,3,PHI 16,0,0,Lawrence Tynes 34 yard field goal no good,2.480,-0.540
1,5:13,1,10,PHI 24,0,0,Correll Buckhalter left tackle for 17 yards (tackle by Aaron Ross and Gibril Wilson),0.540,1.660
1,4:43,1,10,PHI 41,0,0,Correll Buckhalter left tackle for 8 yards (tackle by Gibril Wilson),1.660,2.200
1,3:57,2,2,PHI 49,0,0,Correll Buckhalter left tackle for no gain (tackle by Michael Johnson),2.200,1.490
1,3:18,3,2,PHI 49,0,0,Correll Buckhalter left guard for 12 yards (tackle by Michael Johnson and Mathias Kiwanuka),1.490,2.980
1,2:34,1,10,NYG 39,0,0,Donovan McNabb pass incomplete short left intended for Kevin Curtis,2.980,2.440
1,2:26,2,10,NYG 39,0,0,Donovan McNabb pass incomplete short right intended for Kevin Curtis (defended by Kevin Dockery),2.440,1.750
1,2:22,3,10,NYG 39,0,0,Donovan McNabb sacked by Osi Umenyiora for -8 yards,1.750,0.130
1,2:00,4,18,NYG 47,0,0,"Saverio Rocca punts 25 yards, fair catch by R.W. McQuarters",0.130,-0.410
1,1:51,1,10,NYG 22,0,0,Eli Manning sacked by Jevon Kearse for -6 yards,0.410,-1.080
1,1:16,2,16,NYG 16,0,0,Eli Manning pass complete short right to Derrick Ward for 10 yards (tackle by Will James),-1.080,-0.290
