Unnamed: 0,PHI,NYG
First Downs,16,16
Rush-Yds-TDs,23-114-0,27-83-0
Cmp-Att-Yd-TD-INT,15-31-138-0-0,14-26-135-1-1
Sacked-Yards,12-62,1-6
Net Pass Yards,76,129
Total Yards,190,212
Fumbles-Lost,4-1,0-0
Turnovers,1,1
Penalties-Yards,15-132,4-27
Third Down Conv.,5-16,3-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:26,29:34
