Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
2,0:12,1,10,DEN 41,14,0,"Penalty on Tre'Quan Smith: False Start, 5 yards (no play)",2.850,2.520
2,0:12,1,15,DEN 46,14,0,Taysom Hill pass complete deep middle to Michael Thomas for 24 yards (tackle by Essang Bassey),2.520,4.110
2,0:05,,,,,,Timeout #2 by New Orleans Saints,,
2,0:05,1,10,DEN 22,17,0,Wil Lutz 40 yard field goal good,4.110,3.000
Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,17,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,17,0,Latavius Murray up the middle for 5 yards (tackle by Bradley Chubb and DeShawn Williams),0.610,0.740
3,14:20,2,5,NOR 30,17,0,Alvin Kamara right guard for no gain (tackle by Alexander Johnson),0.740,0.040
3,13:31,3,5,NOR 30,17,0,"Penalty on NOR: Delay of Game, 5 yards (no play)",0.040,-0.620
3,13:31,3,10,NOR 25,17,0,Taysom Hill up the middle for 1 yard (tackle by Dre'Mont Jones),-0.620,-1.630
3,12:57,4,9,NOR 26,17,0,"Thomas Morstead punts 51 yards, fair catch by Bryce Callahan at DEN-23",-1.630,-0.480
3,12:49,1,10,DEN 23,17,0,Melvin Gordon left tackle for 11 yards (tackle by Malcolm Jenkins),0.480,1.200
3,12:14,1,10,DEN 34,17,0,Melvin Gordon left tackle for -3 yards (tackle by Malcolm Jenkins),1.200,0.250
3,11:34,2,13,DEN 31,17,0,Kendall Hinton pass complete short left to Noah Fant for 13 yards (tackle by Malcolm Jenkins),0.250,1.860
3,10:53,1,10,DEN 44,17,0,Phillip Lindsay left tackle for no gain (tackle by Demario Davis),1.860,1.320
3,10:12,2,10,DEN 44,17,0,Kendall Hinton pass short right intended for Troy Fumagalli is intercepted by Chauncey Gardner-Johnson at NO-47 and returned for 3 yards,1.320,-2.260
3,10:04,1,10,NOR 50,17,0,Taysom Hill pass incomplete deep left intended for Jared Cook (defended by Michael Ojemudia),2.260,1.710
3,9:57,2,10,NOR 50,17,0,"Taysom Hill sacked by DeMarcus Walker for -2 yards. Taysom Hill fumbles (forced by DeMarcus Walker), recovered by Taysom Hill at NO-43",1.710,0.760
3,9:15,3,12,NOR 48,17,0,Taysom Hill pass deep right (defended by A.J. Bouye) intended for Michael Thomas is intercepted by Essang Bassey at DEN-34 and returned for 26 yards,0.760,-2.920
3,9:03,1,10,NOR 40,17,0,Royce Freeman left tackle for 4 yards (tackle by Demario Davis),2.920,2.910
3,8:27,2,6,NOR 36,17,0,Kendall Hinton left guard for 2 yards (tackle by Demario Davis),2.910,2.480
3,7:46,3,4,NOR 34,17,0,KJ Hamler right end for -5 yards (tackle by Patrick Robinson),2.480,0.660
3,7:01,4,9,NOR 39,17,3,Brandon McManus 58 yard field goal good,0.660,3.000
3,6:56,,,DEN 35,17,3,"Brandon McManus kicks off 64 yards, returned by Marquez Callaway for 17 yards (tackle by De'Vante Bausby)",0.000,0.040
3,6:49,1,10,NOR 18,17,3,Latavius Murray right guard for 3 yards (tackle by Malik Reed),0.040,0.010
3,6:10,2,7,NOR 21,17,3,Alvin Kamara up the middle for 11 yards (tackle by A.J. Bouye),0.010,1.070
3,5:35,1,10,NOR 32,17,3,Latavius Murray left guard for 8 yards (tackle by Josey Jewell),1.070,1.610
3,4:58,2,2,NOR 40,17,3,Taysom Hill up the middle for 1 yard (tackle by Josey Jewell),1.610,1.030
3,4:21,3,1,NOR 41,17,3,Taysom Hill up the middle for 2 yards (tackle by Bradley Chubb and Dre'Mont Jones),1.030,1.800
3,3:41,1,10,NOR 43,17,3,Taysom Hill pass complete short right to Emmanuel Sanders for 4 yards,1.800,1.790
3,3:08,2,6,NOR 47,17,3,Taysom Hill right end for 17 yards (tackle by Kareem Jackson),1.790,3.180
3,2:21,1,10,DEN 36,23,3,"Latavius Murray up the middle for 36 yards, touchdown",3.180,7.000
3,2:14,,,DEN 15,24,3,Wil Lutz kicks extra point good,0.000,0.000
3,2:14,,,NOR 35,24,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,2:14,1,10,DEN 25,24,3,Melvin Gordon up the middle for 2 yards (tackle by Carl Granderson and Chauncey Gardner-Johnson),0.610,0.330
3,1:28,2,8,DEN 27,24,3,Royce Freeman up the middle for 3 yards (tackle by Marcus Davenport),0.330,0.040
3,0:48,3,5,DEN 30,24,3,Royce Freeman left guard for 7 yards (tackle by Marcus Williams),0.040,1.400
3,0:01,1,10,DEN 37,24,3,"Penalty on Kendall Hinton: Delay of Game, 5 yards (no play)",1.400,1.070
Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,DEN 32,24,3,Melvin Gordon left tackle for no gain (tackle by Kwon Alexander and Malcom Brown),1.070,0.180
4,14:22,2,15,DEN 32,24,3,Royce Freeman right guard for 3 yards (tackle by Demario Davis),0.180,-0.100
4,13:39,3,12,DEN 35,24,3,Kendall Hinton sacked by Cameron Jordan for -1 yards,-0.100,-1.110
4,13:08,4,13,DEN 34,24,3,Sam Martin punts 43 yards downed by Tyrie Cleveland,-1.110,-0.480
4,12:57,1,10,NOR 23,24,3,Latavius Murray up the middle for 3 yards (tackle by Bradley Chubb and DeShawn Williams),0.480,0.340
4,12:16,2,7,NOR 26,24,3,Latavius Murray up the middle for no gain (tackle by DeShawn Williams),0.340,-0.360
4,11:36,3,7,NOR 26,24,3,Taysom Hill pass complete deep left to Michael Thomas for 20 yards (tackle by Michael Ojemudia),-0.360,1.990
4,11:00,1,10,NOR 46,24,3,Michael Thomas left end for 1 yard (tackle by Michael Ojemudia),1.990,1.590
4,10:23,2,9,NOR 47,24,3,Taysom Hill right tackle for 8 yards (tackle by Kareem Jackson),1.590,1.950
4,9:41,3,1,DEN 45,24,3,Alvin Kamara up the middle for 3 yards (tackle by Josey Jewell and Malik Reed),1.950,2.790
4,8:54,,,,,,Timeout #1 by New Orleans Saints,,
4,8:54,1,10,DEN 42,24,3,Taysom Hill pass complete short right to Tre'Quan Smith for 16 yards (tackle by Alexander Johnson),2.790,3.840
4,8:16,1,10,DEN 26,24,3,Latavius Murray left tackle for 11 yards (tackle by Justin Simmons),3.840,4.580
4,7:34,1,10,DEN 15,24,3,Latavius Murray left guard for 6 yards (tackle by Justin Simmons),4.580,5.030
4,6:52,2,4,DEN 9,24,3,Latavius Murray right guard for 1 yard (tackle by Dre'Mont Jones),5.030,4.450
4,6:07,3,3,DEN 8,30,3,"Latavius Murray right tackle for 8 yards, touchdown",4.450,7.000
4,6:03,,,DEN 15,30,3,"Wil Lutz kicks extra point good. Penalty on Adam Trautman: Offensive Holding, 10 yards (no play)",0.000,0.000
4,6:03,,,DEN 25,31,3,Wil Lutz kicks extra point good,0.000,0.000
4,6:03,,,NOR 35,31,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,6:03,1,10,DEN 25,31,3,Melvin Gordon left tackle for 11 yards (tackle by D.J. Swearinger),0.610,1.330
4,5:27,1,10,DEN 36,31,3,Melvin Gordon right guard for no gain (tackle by Alex Anzalone),1.330,0.790
4,4:44,2,10,DEN 36,31,3,Melvin Gordon right guard for -1 yards (tackle by Marcus Davenport),0.790,-0.030
4,3:59,3,11,DEN 35,31,3,Royce Freeman left end for 5 yards (tackle by Marcus Davenport),-0.030,-0.720
4,3:53,4,6,DEN 40,31,3,"Sam Martin punts 39 yards, fair catch by Austin Carr at NO-21",-0.720,-0.340
4,3:46,1,10,NOR 21,31,3,Dwayne Washington up the middle for -2 yards (tackle by Jeremiah Attaochu),0.340,-0.530
4,3:09,2,12,NOR 19,31,3,Dwayne Washington up the middle for 4 yards (tackle by Justin Simmons and Dre'Mont Jones),-0.530,-0.630
4,2:25,3,8,NOR 23,31,3,Dwayne Washington left tackle for 4 yards (tackle by Michael Ojemudia),-0.630,-1.570
4,2:00,4,4,NOR 27,31,3,Thomas Morstead punts 49 yards downed by Alex Anzalone,-1.570,-0.540
4,1:47,1,10,DEN 24,31,3,Royce Freeman left end for 23 yards (tackle by D.J. Swearinger),0.540,2.060
4,1:07,1,10,DEN 47,31,3,Royce Freeman left tackle for 1 yard (tackle by Craig Robertson),2.060,1.650
4,0:25,2,9,DEN 48,31,3,Melvin Gordon up the middle for no gain (tackle by Craig Robertson),1.650,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
