Quarter,Time,Tm,Detail,NOR,DEN
2.0,10:19,Saints,Taysom Hill 1 yard rush (Wil Lutz kick),7,0
,1:03,Saints,Taysom Hill 2 yard rush (Wil Lutz kick),14,0
,0:00,Saints,Wil Lutz 40 yard field goal,17,0
3.0,6:56,Broncos,Brandon McManus 58 yard field goal,17,3
,2:14,Saints,Latavius Murray 36 yard rush (Wil Lutz kick),24,3
4.0,6:03,Saints,Latavius Murray 8 yard rush (Wil Lutz kick),31,3
