Unnamed: 0,NOR,DEN
First Downs,19,6
Rush-Yds-TDs,44-229-4,33-100-0
Cmp-Att-Yd-TD-INT,9-16-78-0-1,1-9-13-0-2
Sacked-Yards,3-15,1-1
Net Pass Yards,63,12
Total Yards,292,112
Fumbles-Lost,2-0,1-1
Turnovers,1,3
Penalties-Yards,5-35,2-10
Third Down Conv.,7-15,1-10
Fourth Down Conv.,0-0,0-0
Time of Possession,35:46,24:14
