Unnamed: 0,KAN,NYG
First Downs,22,22
Rush-Yds-TDs,34-188-2,34-223-2
Cmp-Att-Yd-TD-INT,15-28-176-0-1,17-32-186-1-1
Sacked-Yards,1-2,1-3
Net Pass Yards,174,183
Total Yards,362,406
Fumbles-Lost,2-2,1-1
Turnovers,3,2
Penalties-Yards,9-75,7-70
Third Down Conv.,7-13,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,30:04,29:56
