Quarter,Time,Tm,Detail,KAN,NYG
2.0,6:36,Chiefs,Lawrence Tynes 19 yard field goal,3,0
,2:47,Giants,Tiki Barber 41 yard rush (Jay Feely kick),3,7
,0:28,Giants,Jay Feely 41 yard field goal,3,10
3.0,12:01,Chiefs,Larry Johnson 14 yard rush (Lawrence Tynes kick),10,10
,0:48,Giants,Jay Feely 35 yard field goal,10,13
4.0,12:52,Giants,Amani Toomer 31 yard pass from Eli Manning (Jay Feely kick),10,20
,8:29,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),17,20
,2:48,Giants,Tiki Barber 20 yard rush (Jay Feely kick),17,27
