Quarter,Time,Down,ToGo,Location,KAN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 59 yards, returned by Chad Morton for 27 yards (tackle by Gary Stills)",0.000,1.470
1,14:54,1,10,NYG 38,0,0,Eli Manning pass complete to Amani Toomer for 13 yards (tackle by Kendrell Bell). Penalty on Kawika Mitchell: Illegal Contact (Declined),1.470,2.320
1,14:39,1,10,KAN 49,0,0,Tiki Barber left end for no gain (tackle by Eric Hicks and Kawika Mitchell),2.320,1.780
1,14:02,2,10,KAN 49,0,0,Eli Manning pass incomplete intended for Jeremy Shockey,1.780,1.090
1,13:51,3,10,KAN 49,0,0,"Eli Manning pass incomplete intended for Amani Toomer (defended by Patrick Surtain). Penalty on Patrick Surtain: Defensive Holding, 5 yards (no play)",1.090,2.650
1,13:45,1,10,KAN 44,0,0,Tiki Barber left end for -3 yards (tackle by Sammy Knight),2.650,1.710
1,13:08,2,13,KAN 47,0,0,Tiki Barber right guard for 1 yard (tackle by Sammy Knight),1.710,1.160
1,12:26,3,12,KAN 46,0,0,Eli Manning pass complete to Amani Toomer for 15 yards (tackle by Dexter McCleon),1.160,3.510
1,11:51,1,10,KAN 31,0,0,Tiki Barber right end for 3 yards (tackle by Jared Allen and Lional Dalton),3.510,3.370
1,11:12,2,7,KAN 28,0,0,Eli Manning pass incomplete intended for Plaxico Burress,3.370,2.680
1,10:53,3,7,KAN 28,0,0,"Eli Manning sacked by Eric Hicks for -6 yards. Eli Manning fumbles (forced by Eric Hicks), recovered by Junior Siavii at KAN-31 (tackle by Rich Seubert)",2.680,-1.000
,,,,,,,"NYG challenged the ruling, and the play was upheld.",,
1,10:53,1,10,KAN 31,0,0,Larry Johnson up the middle for 10 yards (tackle by Brent Alexander and Curtis DeLoatch),1.000,1.660
1,10:18,1,10,KAN 41,0,0,Larry Johnson left end for 4 yards (tackle by Osi Umenyiora and Michael Strahan),1.660,1.660
1,9:34,2,6,KAN 45,0,0,Trent Green pass complete to Eddie Kennison for 12 yards (tackle by Brent Alexander and Gibril Wilson),1.660,2.720
1,8:55,1,10,NYG 43,0,0,Larry Johnson up the middle for no gain (tackle by Osi Umenyiora),2.720,2.180
1,8:15,2,10,NYG 43,0,0,"Trent Green pass complete to Samie Parker for 17 yards (tackle by Brent Alexander). Penalty on Samie Parker: Taunting, 15 yards",2.180,2.850
1,7:46,1,10,NYG 41,0,0,Trent Green pass complete to Larry Johnson for 9 yards (tackle by Will Allen),2.850,3.520
1,7:17,2,1,NYG 32,0,0,Tony Richardson left guard for no gain (tackle by Fred Robbins and Michael Strahan),3.520,2.810
1,6:47,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,2.810
1,6:47,3,1,NYG 32,0,0,"Penalty on John Welbourn: False Start, 5 yards (no play)",2.810,2.150
1,6:47,3,6,NYG 37,0,0,"Penalty on Trent Green: False Start, 5 yards (no play)",2.150,1.490
1,6:47,3,11,NYG 42,0,0,Trent Green sacked by Kenderick Allen for -2 yards,1.490,0.330
1,6:40,4,13,NYG 44,0,0,Dustin Colquitt punts 42 yards,0.330,0.380
1,6:29,1,10,NYG 2,0,0,Tiki Barber up the middle for 3 yards (tackle by Eric Hicks),-0.380,-0.560
1,5:56,2,7,NYG 5,0,0,Eli Manning pass complete to Amani Toomer for 6 yards (tackle by Kawika Mitchell),-0.560,-0.370
1,5:32,3,1,NYG 11,0,0,Tiki Barber up the middle for 2 yards (tackle by Kawika Mitchell and Greg Wesley),-0.370,-0.320
1,4:57,1,10,NYG 13,0,0,Eli Manning pass incomplete,-0.320,-0.770
1,4:45,2,10,NYG 13,0,0,Eli Manning pass incomplete intended for Plaxico Burress,-0.770,-1.420
1,4:41,3,10,NYG 13,0,0,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Sammy Knight),-1.420,-2.490
1,4:35,4,10,NYG 13,0,0,"Jeff Feagles punts 46 yards, returned by Dante Hall for no gain",-2.490,-1.660
1,4:23,1,10,KAN 41,0,0,Trent Green pass incomplete intended for Samie Parker (defended by Corey Webster),1.660,1.120
1,4:17,2,10,KAN 41,0,0,Larry Johnson left end for 14 yards (tackle by Curtis DeLoatch and Gibril Wilson),1.120,2.590
1,3:53,1,10,NYG 45,0,0,Larry Johnson right end for -2 yards (tackle by Reggie Torbor),2.590,1.770
1,3:08,2,12,NYG 47,0,0,Trent Green pass incomplete intended for Chris Horn,1.770,1.090
