#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BAL 28,7,3:23,27,Interception
2,1,7:50,BAL 34,8,3:59,46,Missed FG
3,1,0:52,BAL 8,7,4:03,34,Punt
4,2,8:28,BAL 17,3,1:51,0,Punt
5,2,4:59,BAL 13,3,2:06,0,Punt
6,2,0:15,BAL 48,2,0:15,23,End of Half
7,3,14:03,BAL 49,7,2:30,22,Missed FG
8,3,8:43,BAL 29,3,1:35,4,Punt
9,3,5:08,BAL 20,15,6:22,53,Missed FG
10,4,12:22,BAL 12,12,4:04,68,Interception
11,4,3:37,BAL 9,4,0:58,14,Interception
12,4,2:39,BAL 32,5,0:58,24,Fumble
13,4,1:00,BAL 37,5,0:47,63,Touchdown
