Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Dave Rayner kicks off 69 yards, returned by B.J. Sams for 27 yards (tackle by Donald Strickland)",0.000,0.810
1,14:55,1,10,BAL 28,0,0,Jamal Lewis left guard for 9 yards (tackle by Corey Simon),0.810,1.480
1,14:20,2,1,BAL 37,0,0,Jamal Lewis left tackle for no gain (tackle by David Thornton and Corey Simon),1.480,0.760
1,14:20,3,1,BAL 37,0,0,Jamal Lewis up the middle for 2 yards (tackle by Dwight Freeney),0.760,1.530
1,14:20,1,10,BAL 39,0,0,Kyle Boller pass complete to Derrick Mason for 15 yards (tackle by Nick Harper),1.530,2.520
1,11:49,1,10,IND 46,0,0,Jamal Lewis right tackle for 1 yard (tackle by Gary Brackett and Joe Jefferson),2.520,2.110
1,11:45,2,9,IND 45,0,0,Kyle Boller pass incomplete intended for Chester Taylor,2.110,1.420
1,11:44,3,9,IND 45,0,0,Kyle Boller pass incomplete intended for Clarence Moore is intercepted by Gary Brackett at IND-23,1.420,-0.480
1,11:37,1,10,IND 23,0,0,Edgerrin James right guard for 4 yards (tackle by Terrell Suggs),0.480,0.470
1,10:56,2,6,IND 27,0,0,Peyton Manning pass complete to Reggie Wayne for 11 yards (tackle by Samari Rolle),0.470,1.470
1,10:15,1,10,IND 38,0,0,Peyton Manning pass complete to Marvin Harrison for 6 yards (tackle by Chris McAlister),1.470,1.730
1,9:49,2,4,IND 44,0,0,Edgerrin James right end for 3 yards (tackle by Deion Sanders),1.730,1.420
1,9:13,3,1,IND 47,0,0,Edgerrin James right tackle for 10 yards (tackle by Ray Lewis),1.420,2.720
1,8:28,1,10,BAL 43,0,0,Peyton Manning pass incomplete intended for Reggie Wayne (defended by Samari Rolle),2.720,2.180
1,8:23,2,10,BAL 43,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,2.180,1.490
1,8:21,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,1.490
1,8:21,3,10,BAL 43,0,0,Peyton Manning pass complete to Edgerrin James for 9 yards (tackle by Anthony Weaver),1.490,1.100
1,8:04,4,1,BAL 34,0,0,Edgerrin James left guard for no gain (tackle by Ray Lewis and Ma'ake Kemoeatu),1.100,-1.200
1,7:50,1,10,BAL 34,0,0,Kyle Boller pass complete to Daniel Wilcox for 3 yards (tackle by Nick Harper),1.200,1.060
1,7:09,2,7,BAL 37,0,0,Jamal Lewis up the middle for 25 yards (tackle by Jason David),1.060,3.050
1,6:26,1,10,IND 38,0,0,Jamal Lewis left guard for 1 yard (tackle by Larry Tripplett and Darrell Reid),3.050,2.640
1,5:49,2,9,IND 37,0,0,Kyle Boller pass complete to Todd Heap for 10 yards (tackle by David Thornton and Nick Harper),2.640,3.780
1,5:11,1,10,IND 27,0,0,Chester Taylor right tackle for 3 yards (tackle by Gary Brackett and Joe Jefferson),3.780,3.640
1,4:35,2,7,IND 24,0,0,Kyle Boller pass incomplete intended for Derrick Mason,3.640,2.940
1,4:31,3,7,IND 24,0,0,Kyle Boller pass complete to Jamal Lewis for 4 yards (tackle by Cato June and Jason David),2.940,2.220
1,3:56,4,3,IND 20,0,0,Matt Stover 38 yard field goal no good,2.220,-0.810
1,3:51,1,10,IND 28,0,0,Edgerrin James right tackle for 11 yards (tackle by Chris McAlister),0.810,1.530
1,3:14,1,10,IND 39,0,0,Peyton Manning pass incomplete intended for Brandon Stokley (defended by Ed Reed),1.530,0.990
1,3:14,2,10,IND 39,0,0,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",0.990,0.310
1,3:10,2,15,IND 34,0,0,Peyton Manning pass complete to Brandon Stokley for 16 yards (tackle by Will Demps),0.310,2.260
1,2:28,1,10,BAL 50,0,0,Edgerrin James left end for 2 yards (tackle by Ray Lewis),2.260,1.980
1,1:45,2,8,BAL 48,0,0,Peyton Manning pass incomplete intended for Marvin Harrison,1.980,1.290
1,1:39,3,8,BAL 48,0,0,"Penalty on Peyton Manning: Delay of Game, 5 yards (no play)",1.290,0.630
1,1:39,3,13,IND 47,0,0,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Ray Lewis),0.630,0.130
1,1:00,4,7,BAL 47,0,0,Hunter Smith punts 39 yards,0.130,0.380
1,0:52,1,10,BAL 8,0,0,Jamal Lewis right tackle for 2 yards (tackle by David Thornton),-0.380,-0.630
1,0:17,2,8,BAL 10,0,0,Kyle Boller pass complete to Clarence Moore for 12 yards,-0.630,0.410
Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 22,0,0,Jamal Lewis up the middle for 4 yards (tackle by Gary Brackett and David Thornton),0.410,0.410
2,14:23,2,6,BAL 26,0,0,Kyle Boller pass complete to Daniel Wilcox for 12 yards (tackle by Cato June),0.410,1.470
2,13:44,1,10,BAL 38,0,0,"Jamal Lewis for -3 yards (tackle by Larry Tripplett). Kyle Boller fumbles, recovered by Kyle Boller at BAL-37",1.470,0.520
