Unnamed: 0,IND,BAL
First Downs,19,22
Rush-Yds-TDs,26-86-0,21-77-0
Cmp-Att-Yd-TD-INT,21-36-254-2-0,34-54-355-1-3
Sacked-Yards,0-0,3-31
Net Pass Yards,254,324
Total Yards,340,401
Fumbles-Lost,0-0,2-1
Turnovers,0,4
Penalties-Yards,7-45,8-45
Third Down Conv.,3-12,8-18
Fourth Down Conv.,0-1,1-1
Time of Possession,27:09,32:51
