Quarter,Time,Tm,Detail,NWE,BUF
1.0,9:45,Bills,Dawson Knox 8 yard pass from Josh Allen (Tyler Bass kick),0,7
,0:40,Bills,Dawson Knox 11 yard pass from Josh Allen (Tyler Bass kick),0,14
2.0,7:20,Bills,Devin Singletary 3 yard rush (Tyler Bass kick failed),0,20
,1:53,Bills,Devin Singletary 16 yard rush (Tyler Bass kick),0,27
,0:01,Patriots,Nick Folk 44 yard field goal,3,27
3.0,8:48,Bills,Emmanuel Sanders 34 yard pass from Josh Allen (Tyler Bass kick failed),3,33
,4:12,Patriots,Kendrick Bourne 3 yard pass from Mac Jones (Nick Folk kick),10,33
4.0,13:22,Bills,Gabriel Davis 19 yard pass from Josh Allen (Tyler Bass kick),10,40
,8:37,Bills,Tommy Doyle 1 yard pass from Josh Allen (Tyler Bass kick),10,47
,1:44,Patriots,Kendrick Bourne 4 yard pass from Mac Jones (Nick Folk kick),17,47
