Quarter,Time,Tm,Detail,PHI,MIN
1.0,6:42,Vikings,Visanthe Shiancoe 9 yard pass from Kelly Holcomb (Ryan Longwell kick),0,7
,0:45,Eagles,David Akers 20 yard field goal,3,7
2.0,5:46,Eagles,Brian Westbrook 6 yard pass from Donovan McNabb (David Akers kick),10,7
,2:19,Eagles,Brian Westbrook 1 yard rush (David Akers kick),17,7
,0:58,Vikings,Ryan Longwell 39 yard field goal,17,10
3.0,10:46,Eagles,David Akers 27 yard field goal,20,10
,1:42,Vikings,Ryan Longwell 32 yard field goal,20,13
4.0,8:53,Vikings,Ryan Longwell 48 yard field goal,20,16
,5:09,Eagles,David Akers 25 yard field goal,23,16
