Unnamed: 0,PHI,MIN
First Downs,22,20
Rush-Yds-TDs,26-62-1,29-105-0
Cmp-Att-Yd-TD-INT,23-36-333-1-0,14-26-182-1-0
Sacked-Yards,2-10,4-31
Net Pass Yards,323,151
Total Yards,385,256
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-70,6-73
Third Down Conv.,6-13,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:56,29:04
