Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
2,13:50,2,8,MIN 49,3,7,Adrian Peterson up the middle for 1 yard (tackle by Chris Gocong),1.790,1.220
2,13:08,3,7,,3,7,"Penalty on Visanthe Shiancoe: False Start, 5 yards (no play)",1.220,0.560
2,12:53,3,12,MIN 45,3,7,Chester Taylor right tackle for 8 yards (tackle by Quintin Mikell and Omar Gaither),0.560,0.130
2,12:15,4,4,PHI 47,3,7,Chris Kluwe punts 40 yards,0.130,0.380
2,12:06,1,10,PHI 7,3,7,Donovan McNabb pass complete short middle to Brian Westbrook for 8 yards (tackle by E.J. Henderson),-0.380,-0.140
2,11:32,2,2,PHI 15,3,7,Donovan McNabb pass complete short right to Correll Buckhalter for 6 yards (tackle by E.J. Henderson),-0.140,0.340
2,10:49,1,10,PHI 21,3,7,Donovan McNabb pass complete short middle to Reggie Brown for 13 yards (tackle by E.J. Henderson),0.340,1.200
2,10:11,1,10,PHI 34,3,7,Brian Westbrook right end for 6 yards (tackle by E.J. Henderson and Antoine Winfield),1.200,1.470
2,9:27,2,4,PHI 40,3,7,Brian Westbrook right end for 2 yards (tackle by Ray Edwards),1.470,1.030
2,8:45,3,2,PHI 42,3,7,Donovan McNabb pass complete short left to Reggie Brown for 13 yards (tackle by Antoine Winfield),1.030,2.590
2,8:03,1,10,MIN 45,3,7,Donovan McNabb pass complete short middle to Correll Buckhalter for -2 yards (tackle by E.J. Henderson),2.590,1.770
2,7:21,2,12,MIN 47,3,7,Donovan McNabb pass incomplete deep right intended for Reggie Brown,1.770,1.090
2,7:14,3,12,MIN 47,3,7,Donovan McNabb pass complete deep right to Reggie Brown for 30 yards (tackle by Antoine Winfield),1.090,4.440
,,,,,,,"MIN challenged the runner was in bounds ruling, and the play was upheld.",,
2,7:08,1,10,MIN 17,3,7,Donovan McNabb pass complete short middle to Reggie Brown for 8 yards (tackle by Chad Greenway),4.440,5.290
2,6:30,2,2,MIN 9,3,7,Brian Westbrook left tackle for 3 yards (tackle by E.J. Henderson),5.290,5.830
2,5:51,1,6,MIN 6,9,7,"Donovan McNabb pass complete short middle to Brian Westbrook for 6 yards, touchdown",5.830,7.000
2,,,,MIN 2,10,7,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,10,7,"David Akers kicks off 62 yards, returned by Troy Williamson for 25 yards (tackle by Juqua Parker)",0.000,1.140
2,5:42,1,10,MIN 33,10,7,Adrian Peterson up the middle for 2 yards (tackle by Trent Cole),1.140,0.860
2,5:05,2,8,MIN 35,10,7,Adrian Peterson right tackle for no gain (tackle by Quintin Mikell and Omar Gaither),0.860,0.170
2,4:22,3,8,MIN 35,10,7,Kelly Holcomb pass incomplete deep middle intended for Sidney Rice,0.170,-1.040
2,4:17,4,8,MIN 35,10,7,"Chris Kluwe punts 41 yards, returned by Reno Mahe for 27 yards (tackle by Chris Kluwe)",-1.040,-2.320
2,4:05,1,10,MIN 49,10,7,Donovan McNabb pass complete short middle to Kevin Curtis for 33 yards (tackle by Cedric Griffin),2.320,4.510
2,3:26,1,10,MIN 16,10,7,Donovan McNabb pass complete short right to Correll Buckhalter for 12 yards (tackle by Antoine Winfield),4.510,6.280
2,2:45,1,4,MIN 4,10,7,Correll Buckhalter up the middle for 3 yards (tackle by Pat Williams and Charles Gordon),6.280,5.910
2,2:22,2,1,MIN 1,16,7,"Brian Westbrook up the middle for 1 yard, touchdown",5.910,7.000
2,,,,MIN 2,17,7,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,17,7,"David Akers kicks off 67 yards, returned by Troy Williamson for 24 yards (tackle by Joselio Hanson)",0.000,0.740
2,2:14,1,10,MIN 27,17,7,Kelly Holcomb pass incomplete short right intended for Chester Taylor,0.740,0.200
2,2:11,2,10,MIN 27,17,7,Chester Taylor up the middle for 9 yards (tackle by Montae Reagor),0.200,0.700
2,2:00,3,1,MIN 36,17,7,Chester Taylor left guard for 2 yards (tackle by Chris Gocong and Brodrick Bunkley),0.700,1.470
2,1:29,1,10,MIN 38,17,7,"Kelly Holcomb pass incomplete short right intended for Robert Ferguson. Penalty on Lito Sheppard: Defensive Pass Interference, 10 yards (no play)",1.470,2.130
2,1:24,1,10,MIN 48,17,7,Kelly Holcomb pass complete deep right to Robert Ferguson for 34 yards (tackle by Sheldon Brown),2.130,4.370
2,1:18,1,10,PHI 18,17,7,Kelly Holcomb pass incomplete short left intended for Bobby Wade (defended by Sheldon Brown),4.370,3.800
2,1:14,2,10,PHI 18,17,7,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",3.800,3.150
2,1:14,2,15,PHI 23,17,7,Kelly Holcomb pass incomplete short middle intended for Chester Taylor,3.150,2.480
2,1:11,3,15,PHI 23,17,7,Kelly Holcomb pass complete short middle to Sidney Rice for 2 yards (tackle by Quintin Mikell),2.480,2.060
2,1:01,,,,17,7,Timeout #2 by Philadelphia Eagles,0.000,2.060
2,1:01,4,13,PHI 21,17,10,Ryan Longwell 39 yard field goal good,2.060,3.000
2,,,,MIN 30,17,10,"Ryan Longwell kicks off 65 yards, returned by Correll Buckhalter for 21 yards (tackle by Dontarrious Thomas)",0.000,0.670
2,0:51,1,10,PHI 26,17,10,Donovan McNabb pass complete short middle to Brian Westbrook for 7 yards (tackle by Chad Greenway),0.670,1.070
2,0:30,2,3,PHI 33,17,10,Donovan McNabb pass incomplete deep right intended for Reggie Brown (defended by Antoine Winfield),1.070,0.370
2,0:22,3,3,PHI 33,17,10,Brian Westbrook left guard for 9 yards (tackle by Tank Williams),0.370,1.730
2,0:16,1,10,PHI 42,17,10,Donovan McNabb pass incomplete deep right intended for Reggie Brown,1.730,1.190
2,0:09,2,10,PHI 42,17,10,Donovan McNabb pass complete deep left to Reggie Brown for 17 yards (tackle by Tank Williams),1.190,2.850
2,0:01,,,,17,10,Timeout #3 by Philadelphia Eagles,0.000,2.850
2,0:01,1,10,MIN 41,17,10,David Akers 59 yard field goal no good,2.850,2.130
Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,,,"David Akers kicks off 69 yards, returned by Adrian Peterson for no gain",,
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
3,14:59,1,10,MIN 1,17,10,Tony Richardson up the middle for 1 yard (tackle by Mike Patterson and Takeo Spikes),-0.380,-0.710
3,14:19,2,9,MIN 2,17,10,Kelly Holcomb pass incomplete short right intended for Tony Richardson,-0.710,-1.300
3,14:14,3,9,MIN 2,17,10,Chester Taylor up the middle for -1 yards (tackle by Chris Gocong),-1.300,-2.490
3,13:33,4,10,MIN 1,17,10,"Chris Kluwe punts 44 yards, returned by Reno Mahe for no gain. Penalty on Matt McCoy: Unnecessary Roughness, 15 yards",-2.490,-1.600
3,13:22,1,10,PHI 40,17,10,Donovan McNabb pass complete short right to Brian Westbrook for 25 yards,1.600,3.250
3,12:55,1,10,MIN 35,17,10,"Brian Westbrook left tackle for 6 yards (tackle by E.J. Henderson). Penalty on E.J. Henderson: Face Mask (15 Yards), 15 yards",3.250,4.650
3,12:36,1,10,MIN 14,17,10,Brian Westbrook left guard for 1 yard (tackle by E.J. Henderson),4.650,4.160
3,11:59,2,9,MIN 13,17,10,Donovan McNabb for 6 yards,4.160,4.500
3,11:27,3,3,MIN 7,17,10,Brian Westbrook up the middle for -2 yards (tackle by Ray Edwards),4.500,2.880
3,10:49,4,5,MIN 9,20,10,David Akers 27 yard field goal good,2.880,3.000
3,,,,PHI 30,20,10,"David Akers kicks off 66 yards, returned by Adrian Peterson for 11 yards (tackle by Jason Avant)",0.000,-0.220
3,10:41,1,10,MIN 15,20,10,Kelly Holcomb pass complete short middle to Bobby Wade for 13 yards (tackle by Sheldon Brown),-0.220,0.810
3,10:12,1,10,MIN 28,20,10,Adrian Peterson left end for 1 yard (tackle by Omar Gaither and Chris Gocong),0.810,0.400
3,9:34,2,9,MIN 29,20,10,Kelly Holcomb pass incomplete short middle intended for Bobby Wade,0.400,-0.300
3,9:30,3,9,MIN 29,20,10,Kelly Holcomb sacked by Juqua Parker for -11 yards,-0.300,-2.240
3,9:18,4,20,MIN 18,20,10,Chris Kluwe punts 52 yards,-2.240,-0.940
3,9:10,1,10,PHI 30,20,10,Brian Westbrook left end for 7 yards (tackle by Kevin Williams),0.940,1.340
3,8:30,2,3,PHI 37,20,10,Donovan McNabb pass complete short right to Reggie Brown for 5 yards (tackle by Antoine Winfield),1.340,1.730
3,7:55,1,10,PHI 42,20,10,Donovan McNabb pass incomplete short middle intended for Reggie Brown (defended by Antoine Winfield),1.730,1.190
3,7:49,2,10,PHI 42,20,10,Donovan McNabb pass incomplete short middle intended for Kevin Curtis,1.190,0.500
3,7:49,3,10,PHI 42,20,10,Donovan McNabb sacked by Ben Leber for -8 yards,0.500,-1.110
3,7:26,4,18,PHI 34,20,10,"Saverio Rocca punts 40 yards, returned by Bobby Wade for 5 yards (tackle by J.R. Reed)",-1.110,-1.000
3,7:23,1,10,MIN 31,20,10,Brooks Bollinger pass complete short middle to Sidney Rice for 13 yards (tackle by Sheldon Brown),1.000,1.860
3,6:53,1,10,MIN 44,20,10,Brooks Bollinger pass complete short right to Visanthe Shiancoe for 5 yards (tackle by Chris Gocong),1.860,1.990
3,6:13,2,5,MIN 49,20,10,Brooks Bollinger pass complete short middle to Visanthe Shiancoe for 12 yards (tackle by Chris Gocong),1.990,2.980
3,5:30,1,10,PHI 39,20,10,Brooks Bollinger pass incomplete short left intended for Jim Kleinsasser,2.980,2.440
3,5:24,2,10,PHI 39,20,10,"Brooks Bollinger pass incomplete short middle intended for Robert Ferguson. Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",2.440,3.120
3,5:19,2,5,PHI 34,20,10,Adrian Peterson left tackle for 7 yards (tackle by Trent Cole and Omar Gaither),3.120,3.780
3,4:43,1,10,PHI 27,20,10,Adrian Peterson left tackle for 2 yards (tackle by Brodrick Bunkley),3.780,3.500
3,4:04,2,8,PHI 25,20,10,Adrian Peterson up the middle for 9 yards (tackle by Chris Gocong and Trent Cole),3.500,4.510
3,3:18,1,10,PHI 16,20,10,Adrian Peterson right end for -1 yards (tackle by Trent Cole),4.510,3.770
3,2:35,2,11,PHI 17,20,10,Chester Taylor left guard for 3 yards (tackle by Juqua Parker and Mike Patterson),3.770,3.370
3,1:50,,,,20,10,Timeout #2 by Minnesota Vikings,0.000,3.370
3,1:50,3,8,PHI 14,20,10,Brooks Bollinger pass incomplete short right intended for Robert Ferguson,3.370,2.510
3,1:45,4,8,PHI 14,20,13,Ryan Longwell 32 yard field goal good,2.510,3.000
3,,,,MIN 30,20,13,"Ryan Longwell kicks off 65 yards, returned by Correll Buckhalter for 15 yards (tackle by Antoine Winfield). Penalty on Stewart Bradley: Offensive Holding, 10 yards",0.000,-0.380
3,1:37,1,10,PHI 10,20,13,Donovan McNabb sacked by Kenechi Udeze for -2 yards,-0.380,-0.930
3,1:01,2,12,PHI 8,20,13,Brian Westbrook up the middle for 1 yard (tackle by Kevin Williams),-0.930,-1.540
3,0:18,3,11,PHI 9,20,13,Donovan McNabb pass complete short middle to Correll Buckhalter for 12 yards (tackle by Charles Gordon),-1.540,0.340
Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 21,20,13,Brian Westbrook left guard for 1 yard (tackle by Spencer Johnson),0.340,-0.070
4,14:18,2,9,PHI 22,20,13,Brian Westbrook left tackle for 1 yard (tackle by Jayme Mitchell and Pat Williams),-0.070,-0.630
4,13:34,3,8,PHI 23,20,13,Donovan McNabb pass incomplete short right intended for Kevin Curtis,-0.630,-1.830
4,13:28,4,8,PHI 23,20,13,"Saverio Rocca punts 64 yards, returned by Bobby Wade for 17 yards (tackle by Chris Gocong)",-1.830,-0.940
4,13:15,1,10,MIN 30,20,13,Brooks Bollinger up the middle for 10 yards,0.940,1.600
4,12:33,1,10,MIN 40,20,13,Brooks Bollinger pass complete short middle to Bobby Wade for 15 yards (tackle by Lito Sheppard),1.600,2.590
4,12:06,1,10,PHI 45,20,13,"Adrian Peterson left end for 1 yard (tackle by Sheldon Brown). Penalty on Visanthe Shiancoe: Offensive Holding, 10 yards",2.590,1.990
4,11:37,1,19,MIN 46,20,13,Brooks Bollinger pass complete short middle to Visanthe Shiancoe for 12 yards (tackle by Sean Considine),1.990,2.450
4,11:00,2,7,PHI 42,20,13,Adrian Peterson up the middle for 17 yards (tackle by Quintin Mikell),2.450,3.910
4,10:19,1,10,PHI 25,20,13,Adrian Peterson up the middle for 1 yard (tackle by Mike Patterson and Takeo Spikes),3.910,3.500
4,9:37,2,9,PHI 24,20,13,Brooks Bollinger pass incomplete deep left intended for Visanthe Shiancoe,3.500,2.810
4,9:29,3,9,PHI 24,20,13,Brooks Bollinger sacked by Trent Cole for -6 yards,2.810,1.410
4,8:58,4,15,PHI 30,20,16,Ryan Longwell 48 yard field goal good,1.410,3.000
4,,,,MIN 30,20,16,"Ryan Longwell kicks off 57 yards, returned by Correll Buckhalter for 14 yards (tackle by Eric Frampton)",0.000,0.740
4,8:48,1,10,PHI 27,20,16,Donovan McNabb pass incomplete short middle intended for Matt Schobel,0.740,0.200
4,8:45,2,10,PHI 27,20,16,Donovan McNabb pass complete short middle to Reggie Brown for 15 yards (tackle by Antoine Winfield),0.200,1.730
4,8:02,1,10,PHI 42,20,16,Donovan McNabb pass complete short right to Thomas Tapeh for 3 yards (tackle by Chad Greenway),1.730,1.590
4,7:32,2,7,PHI 45,20,16,Donovan McNabb pass complete deep left to Kevin Curtis for 31 yards (tackle by Cedric Griffin),1.590,3.970
4,6:45,1,10,MIN 24,20,16,Donovan McNabb pass complete short middle to Greg Lewis for 13 yards (tackle by Antoine Winfield),3.970,4.840
4,6:04,1,10,MIN 11,20,16,Donovan McNabb up the middle for 4 yards (tackle by Fred Evans and Darren Sharper),4.840,4.890
4,5:19,2,6,MIN 7,20,16,Donovan McNabb pass incomplete short right intended for Brian Westbrook,4.890,3.980
4,5:14,3,6,MIN 7,20,16,Donovan McNabb pass incomplete short middle intended for Greg Lewis (defended by Antoine Winfield),3.980,2.980
4,5:11,4,6,MIN 7,23,16,David Akers 25 yard field goal good,2.980,3.000
4,,,,PHI 30,23,16,"David Akers kicks off 68 yards, returned by Troy Williamson for 27 yards (tackle by Jason Avant)",0.000,0.870
4,5:03,1,10,MIN 29,23,16,Brooks Bollinger pass complete deep left to Bobby Wade for 19 yards (tackle by Lito Sheppard),0.870,2.130
4,4:56,1,10,MIN 48,23,16,Adrian Peterson right end for -6 yards (tackle by Trent Cole),2.130,0.770
4,4:14,2,16,MIN 42,23,16,Brooks Bollinger sacked by Jevon Kearse for -5 yards,0.770,-0.560
4,3:37,3,21,MIN 37,23,16,Brooks Bollinger left end for 5 yards (tackle by Takeo Spikes),-0.560,-0.590
4,3:29,4,16,MIN 42,23,16,"Chris Kluwe punts 58 yards, touchback",-0.590,-0.280
4,3:20,1,10,PHI 20,23,16,Brian Westbrook left guard for 5 yards (tackle by E.J. Henderson),0.280,0.410
4,2:38,2,5,PHI 25,23,16,Donovan McNabb pass complete short right to Kevin Curtis for 12 yards (tackle by Darren Sharper),0.410,1.400
4,2:00,1,10,PHI 37,23,16,Brian Westbrook up the middle for -5 yards (tackle by Antoine Winfield and Pat Williams),1.400,0.180
4,1:56,,,,23,16,Timeout #3 by Minnesota Vikings,0.000,0.180
4,1:56,2,15,PHI 32,23,16,Brian Westbrook up the middle for no gain (tackle by Ray Edwards),0.180,-0.490
4,1:12,,,,23,16,Timeout #1 by Philadelphia Eagles,0.000,-0.490
4,1:12,3,15,PHI 32,23,16,Brian Westbrook right tackle for 2 yards (tackle by Kenechi Udeze and Pat Williams),-0.490,-1.110
4,0:27,,,,23,16,Timeout #2 by Philadelphia Eagles,0.000,-1.110
4,0:27,4,13,PHI 34,23,16,"Saverio Rocca punts 65 yards, returned by Bobby Wade for 8 yards",-1.110,0.380
4,0:15,1,10,MIN 9,23,16,Brooks Bollinger pass complete short middle to Chester Taylor for 18 yards (tackle by Juqua Parker),-0.380,0.740
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
