Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 63 yards, returned by Byron Pringle for 20 yards (tackle by Trevon Moehrig)",,
1,14:55,1,10,KAN 22,0,0,Darrel Williams up the middle for 5 yards (tackle by Quinton Jefferson),,
1,14:21,2,5,KAN 27,0,0,Darrel Williams right end for no gain (tackle by Maxx Crosby and Johnathan Hankins),,
1,13:36,3,5,KAN 27,0,0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",,
1,13:15,3,10,KAN 22,0,0,Patrick Mahomes pass complete short left to Jerick McKinnon for 6 yards (tackle by Denzel Perryman),,
1,12:38,4,4,KAN 28,0,0,"Tommy Townsend punts 42 yards, fair catch by Hunter Renfrow at LV-30",,
1,12:32,1,10,LVR 30,0,0,Josh Jacobs left guard for 3 yards (tackle by Jarran Reed),,
1,11:57,2,7,LVR 33,0,0,Derek Carr pass complete short right to Josh Jacobs for 6 yards (tackle by Charvarius Ward and Anthony Hitchens),,
1,11:14,3,1,LVR 39,0,0,Josh Jacobs left end for 5 yards (tackle by Frank Clark),,
1,10:39,1,10,LVR 44,0,0,Kenyan Drake left tackle for 3 yards (tackle by Derrick Nnadi and Anthony Hitchens),,
1,10:03,2,7,LVR 47,0,0,Derek Carr pass complete short right to Alec Ingold for 5 yards (tackle by Nick Bolton),,
1,9:16,3,2,KAN 48,0,0,Derek Carr pass complete short left to Josh Jacobs for 1 yard (tackle by L'Jarius Sneed),,
1,8:59,4,1,KAN 47,0,0,"Penalty on Alex Leatherwood: False Start, 4 yards (accepted) (no play)",,
1,8:47,4,6,LVR 49,0,0,"AJ Cole punts 40 yards, fair catch by Mike Hughes at KC-11",,
1,8:36,1,10,KAN 11,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Denzel Perryman),,
1,8:03,2,3,KAN 18,0,0,Patrick Mahomes pass complete short left to Darrel Williams for 5 yards (tackle by Nate Hobbs),,
1,7:30,1,10,KAN 23,0,0,Derrick Gore right guard for 5 yards (tackle by Johnathan Abram and Cory Littleton),,
1,6:56,2,5,KAN 28,0,0,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,,
1,6:49,3,5,KAN 28,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 11 yards (tackle by Johnathan Abram),,
1,6:13,1,10,KAN 39,0,0,Patrick Mahomes pass complete short right to Darrel Williams for 22 yards (tackle by Trevon Moehrig and Desmond Trufant),,
1,5:28,1,10,LVR 39,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 19 yards (tackle by Desmond Trufant),,
1,4:48,1,10,LVR 20,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 8 yards (tackle by Denzel Perryman),,
1,4:11,2,2,LVR 12,0,0,Darrel Williams left tackle for 1 yard (tackle by Maxx Crosby and Solomon Thomas),,
1,3:30,3,1,LVR 11,0,0,Blake Bell up the middle for 3 yards (tackle by Johnathan Hankins),,
1,2:56,1,8,LVR 8,6,0,"Patrick Mahomes pass complete short left to Tyreek Hill for 8 yards, touchdown",,
1,2:51,,,LVR 15,7,0,Harrison Butker kicks extra point good,,
1,2:51,,,KAN 35,7,0,"Harrison Butker kicks off 63 yards, returned by Jalen Richard for 23 yards (tackle by Jerick McKinnon)",,
1,2:45,1,10,LVR 25,7,0,Derek Carr pass complete short left to Darren Waller for 4 yards (tackle by Tyrann Mathieu),,
1,2:11,2,6,LVR 29,7,0,Josh Jacobs left guard for 3 yards (tackle by Melvin Ingram and Derrick Nnadi),,
1,1:29,3,3,LVR 32,7,0,"Penalty on Brandon Parker: False Start, 5 yards (accepted) (no play)",,
1,1:17,3,8,LVR 27,7,0,Derek Carr pass complete short right to Jalen Richard for 3 yards (tackle by L'Jarius Sneed),,
1,0:45,4,5,LVR 30,7,0,"AJ Cole punts 61 yards, returned by Mike Hughes for 37 yards. Mike Hughes fumbles (forced by AJ Cole), recovered by Foster Moreau at 50 (tackle by AJ Cole)",,
1,0:30,1,10,KAN 50,7,0,Derek Carr pass complete deep right to Bryan Edwards for 27 yards (tackle by Tyrann Mathieu and Juan Thornhill),,
Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 23,7,0,Derek Carr pass complete short left to Hunter Renfrow for 3 yards (tackle by Tyrann Mathieu),,
2,14:25,2,7,KAN 20,7,0,Derek Carr scrambles left end for 1 yard (tackle by Willie Gay),,
2,13:47,3,6,KAN 19,7,0,"Derek Carr pass incomplete intended for Bryan Edwards. Penalty on Rashad Fenton: Defensive Pass Interference, 14 yards (accepted) (no play)",,
2,13:42,1,4,KAN 4,7,0,Josh Jacobs left end for -1 yards (tackle by L'Jarius Sneed),,
2,13:03,2,6,KAN 6,7,6,"Derek Carr pass complete short right to Hunter Renfrow for 6 yards, touchdown",,
2,12:57,,,KAN 15,7,7,Daniel Carlson kicks extra point good,,
2,12:57,,,LVR 35,7,7,"Daniel Carlson kicks off 65 yards, touchback.",,
2,12:57,1,10,KAN 25,7,7,Patrick Mahomes pass complete short middle to Darrel Williams for 7 yards (tackle by Denzel Perryman and Cory Littleton),,
2,12:18,2,3,KAN 32,7,7,Darrel Williams up the middle for 21 yards (tackle by Trevon Moehrig and Nate Hobbs),,
2,11:36,1,10,LVR 47,7,7,Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards (tackle by Nate Hobbs),,
2,10:46,1,10,LVR 34,7,7,Darrel Williams right tackle for 1 yard (tackle by Maxx Crosby and Quinton Jefferson),,
2,10:11,2,9,LVR 33,7,7,Patrick Mahomes pass complete short middle to Travis Kelce for 12 yards (tackle by Maxx Crosby),,
2,9:24,1,10,LVR 21,7,7,Patrick Mahomes pass incomplete deep middle,,
2,9:18,2,10,LVR 21,7,7,Patrick Mahomes pass complete short middle to Darrel Williams for -1 yards (tackle by Cory Littleton and Solomon Thomas),,
2,8:36,3,11,LVR 22,7,7,Patrick Mahomes pass incomplete deep left intended for Demarcus Robinson,,
2,8:29,4,11,LVR 22,10,7,Harrison Butker 40 yard field goal good,,
2,8:24,,,KAN 35,10,7,"Harrison Butker kicks off 65 yards, touchback.",,
2,8:24,1,10,LVR 25,10,7,Kenyan Drake left guard for 12 yards (tackle by Juan Thornhill),,
2,7:51,1,10,LVR 37,10,7,Kenyan Drake left guard for 2 yards (tackle by Derrick Nnadi and Willie Gay),,
2,7:26,2,8,LVR 39,10,7,Kenyan Drake right tackle for -1 yards (tackle by Nick Bolton and Anthony Hitchens),,
2,6:44,3,9,LVR 38,10,7,Derek Carr sacked by Jarran Reed for -7 yards,,
2,5:58,4,16,LVR 31,10,7,"AJ Cole punts 42 yards downed by Divine Deablo. Penalty on Dillon Stoner: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",,
2,5:58,1,10,KAN 42,10,7,Derrick Gore right guard for 3 yards (tackle by Casey Hayward and Johnathan Abram),,
2,5:18,2,7,KAN 45,10,7,Patrick Mahomes pass incomplete intended for Travis Kelce (defended by Clelin Ferrell),,
