Quarter,Time,Tm,Detail,KAN,LVR
1.0,2:55,Chiefs,Tyreek Hill 8 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
2.0,13:02,Raiders,Hunter Renfrow 6 yard pass from Derek Carr (Daniel Carlson kick),7,7
,8:24,Chiefs,Harrison Butker 40 yard field goal,10,7
,1:39,Chiefs,Tyreek Hill 1 yard pass from Patrick Mahomes (Harrison Butker kick),17,7
3.0,12:08,Raiders,Bryan Edwards 37 yard pass from Derek Carr (Daniel Carlson kick),17,14
,7:09,Chiefs,Noah Gray 1 yard pass from Patrick Mahomes (Harrison Butker kick),24,14
,0:57,Chiefs,Harrison Butker 35 yard field goal,27,14
4.0,13:11,Chiefs,Darrel Williams 38 yard pass from Patrick Mahomes (Harrison Butker kick),34,14
,7:39,Chiefs,Byron Pringle 22 yard pass from Patrick Mahomes (Harrison Butker kick),41,14
