Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Darrel Williams,KAN,9,9,101,1,4,26,2.9,75,8.3,2.9,2,4.5,0,0.0,0,150.5
Travis Kelce,KAN,10,8,119,0,7,47,5.9,72,9.0,5.3,2,4.0,1,10.0,0,116.2
Tyreek Hill,KAN,10,7,83,2,5,46,6.6,37,5.3,13.0,2,3.5,0,0.0,0,134.6
Byron Pringle,KAN,5,4,46,1,3,27,6.8,19,4.8,14.6,0,,0,0.0,0,144.6
Demarcus Robinson,KAN,4,3,23,0,1,4,1.3,19,6.3,6.5,0,,0,0.0,0,88.5
Mecole Hardman,KAN,3,2,27,0,1,0,0.0,27,13.5,11.7,1,2.0,0,0.0,0,95.1
Noah Gray,KAN,3,1,1,1,1,1,1.0,0,0.0,0.0,0,,1,33.3,0,81.9
Marcus Kemp,KAN,1,1,16,0,1,11,11.0,5,5.0,11.0,0,,0,0.0,0,118.7
Jerick McKinnon,KAN,3,1,6,0,0,3,3.0,3,3.0,7.3,1,1.0,0,0.0,0,42.4
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Renfrow,LVR,9,7,46,1,3,18,2.6,28,4.0,3.7,0,,0,0.0,0,125.0
Josh Jacobs,LVR,5,5,20,0,1,-6,-1.2,26,5.2,-1.2,1,5.0,0,0.0,0,83.3
Darren Waller,LVR,7,4,24,0,2,7,1.8,17,4.3,6.7,0,,0,0.0,0,64.0
Bryan Edwards,LVR,4,3,88,1,3,55,18.3,33,11.0,22.0,2,1.5,0,0.0,0,156.2
Kenyan Drake,LVR,3,2,15,0,1,7,3.5,8,4.0,1.7,0,,0,0.0,0,78.5
Alec Ingold,LVR,1,1,5,0,,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5
DeSean Jackson,LVR,1,1,38,0,,35,35.0,3,3.0,35.0,0,,0,0.0,0,118.7
Zay Jones,LVR,3,1,22,0,1,17,17.0,5,5.0,17.7,0,,0,0.0,1,20.8
Jalen Richard,LVR,1,1,3,0,,-3,-3.0,6,6.0,-3.0,0,,0,0.0,0,79.2
