Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Darrel Williams,KAN,11,43,0,2,31,2.8,12,1.1,0,
Derrick Gore,KAN,6,19,0,,10,1.7,9,1.5,0,
Jerick McKinnon,KAN,3,26,0,2,20,6.7,6,2.0,0,
Chad Henne,KAN,2,-2,0,,-2,-1.0,0,0.0,0,
Blake Bell,KAN,1,3,0,1,1,1.0,2,2.0,0,
Mecole Hardman,KAN,1,3,0,0,2,2.0,1,1.0,0,
Tyreek Hill,KAN,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Jacobs,LVR,7,16,0,2,7,1.0,9,1.3,0,
Kenyan Drake,LVR,4,16,0,1,10,2.5,6,1.5,0,
Derek Carr,LVR,3,18,0,0,16,5.3,2,0.7,0,
