Unnamed: 0,KAN,LVR
First Downs,29,15
Rush-Yds-TDs,25-94-0,14-50-0
Cmp-Att-Yd-TD-INT,36-51-422-5-0,25-35-261-2-1
Sacked-Yards,0-0,2-12
Net Pass Yards,422,249
Total Yards,516,299
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,4-34,9-68
Third Down Conv.,9-15,1-9
Fourth Down Conv.,3-3,1-2
Time of Possession,35:26,24:34
