Unnamed: 0,ATL,NOR
First Downs,26,32
Rush-Yds-TDs,31-217-3,23-115-1
Cmp-Att-Yd-TD-INT,20-30-240-2-0,36-54-376-3-1
Sacked-Yards,2-15,2-17
Net Pass Yards,225,359
Total Yards,442,474
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,4-35,5-75
Third Down Conv.,5-11,7-13
Fourth Down Conv.,2-2,1-2
Time of Possession,27:26,32:34
