Unnamed: 0,BUF,PIT
First Downs,16,19
Rush-Yds-TDs,22-95-0,33-136-1
Cmp-Att-Yd-TD-INT,22-39-155-1-1,18-30-204-1-1
Sacked-Yards,3-23,4-40
Net Pass Yards,132,164
Total Yards,227,300
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,4-30,6-42
Third Down Conv.,3-14,8-17
Fourth Down Conv.,1-1,0-0
Time of Possession,24:44,35:16
