Quarter,Time,Down,ToGo,Location,CIN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Billy Cundiff kicks off 69 yards, returned by Brandon Tate for 31 yards (tackle by Dejon Gomes)",0.000,0.740
1,14:53,1,10,CIN 27,6,0,"Mohamed Sanu pass complete deep middle to A.J. Green for 73 yards, touchdown",0.740,7.000
1,14:53,,,WAS 2,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,14:43,,,CIN 35,7,0,"Mike Nugent kicks off 67 yards, returned by Brandon Banks for 19 yards (tackle by Dan Skuta)",0.000,-0.060
1,14:37,1,10,WAS 17,7,0,Alfred Morris right end for 10 yards (tackle by Domata Peko and Vontaze Burfict),-0.060,0.740
1,14:15,1,10,WAS 27,7,0,Alfred Morris left end for 12 yards (tackle by Rey Maualuga and Vontaze Burfict),0.740,1.530
1,13:46,1,10,WAS 39,7,0,"Robert Griffin III sacked by Michael Johnson for -9 yards. Robert Griffin III fumbles, recovered by Robert Griffin III at WAS-29",1.530,-0.360
1,13:08,2,20,WAS 29,7,0,Robert Griffin III pass complete short middle to Fred Davis for 8 yards (tackle by Rey Maualuga and Vontaze Burfict),-0.360,0.040
1,12:27,3,12,WAS 37,7,0,Robert Griffin III pass complete short left to Fred Davis for 4 yards (tackle by Jason Allen and Taylor Mays),0.040,-0.650
1,11:58,4,8,WAS 41,7,0,Saverio Rocca punts 58 yards,-0.650,0.380
1,11:45,1,10,CIN 1,7,0,BenJarvus Green-Ellis right guard for 1 yard (tackle by Perry Riley and London Fletcher),-0.380,-0.710
1,11:05,2,9,CIN 2,7,6,"Andy Dalton pass incomplete short left intended for BenJarvus Green-Ellis is intercepted by Rob Jackson at CIN-0, touchdown",-0.710,-7.000
1,,,,CIN 2,7,7,Billy Cundiff kicks extra point good,0.000,0.000
1,11:00,,,WAS 35,7,7,"Billy Cundiff kicks off 61 yards, returned by Brandon Tate for 14 yards (tackle by Lorenzo Alexander)",0.000,0.040
1,11:00,1,10,CIN 18,7,7,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",0.040,-0.450
1,10:53,1,15,CIN 13,7,7,BenJarvus Green-Ellis left guard for 3 yards (tackle by Dejon Gomes and Perry Riley),-0.450,-0.800
1,10:14,2,12,CIN 16,7,7,Andy Dalton pass complete short middle to Jermaine Gresham for 22 yards (tackle by DeAngelo Hall and London Fletcher),-0.800,1.470
1,9:42,1,10,CIN 38,7,7,BenJarvus Green-Ellis left tackle for 2 yards (tackle by Ryan Kerrigan and London Fletcher),1.470,1.190
1,9:06,2,8,CIN 40,7,7,"Andy Dalton pass incomplete short left intended for Armon Binns. Penalty on Josh Wilson: Defensive Pass Interference, 8 yards (no play)",1.190,2.130
1,9:01,1,10,CIN 48,7,7,Andy Dalton pass complete short right to A.J. Green for 14 yards (tackle by DeAngelo Hall),2.130,3.050
1,8:22,1,10,WAS 38,7,7,BenJarvus Green-Ellis left end for -2 yards (tackle by Rob Jackson and London Fletcher),3.050,2.240
1,7:40,2,12,WAS 40,7,7,Andy Dalton pass incomplete deep right intended for Jermaine Gresham,2.240,1.550
1,7:34,3,12,WAS 40,7,7,Andy Dalton sacked by Chris Wilson and Ryan Kerrigan for -7 yards. Penalty on Andrew Whitworth: Offensive Holding (Declined),1.550,0.130
1,7:16,4,19,WAS 47,7,7,"Kevin Huber punts 37 yards, fair catch by Brandon Banks",0.130,0.380
1,7:12,1,10,WAS 10,7,7,Alfred Morris right end for no gain (tackle by Geno Atkins),-0.380,-0.780
1,6:36,2,10,WAS 10,7,7,Alfred Morris left end for 3 yards (tackle by Michael Johnson),-0.780,-1.070
1,5:56,3,7,WAS 13,7,7,Robert Griffin III pass incomplete short right intended for Leonard Hankerson (defended by Terence Newman),-1.070,-2.490
1,5:49,4,7,WAS 13,7,7,"Saverio Rocca punts 45 yards, returned by Pacman Jones for no gain",-2.490,-1.730
1,5:40,1,10,CIN 42,7,7,Bernard Scott left end for -8 yards (tackle by Rob Jackson),1.730,0.110
1,5:00,2,18,CIN 34,7,7,Andy Dalton left guard for 17 yards (tackle by London Fletcher),0.110,1.690
1,4:12,3,1,WAS 49,7,7,Andrew Hawkins left end for 11 yards (tackle by Dejon Gomes and London Fletcher),1.690,3.050
1,3:46,1,10,WAS 38,7,7,"Andy Dalton pass incomplete short middle intended for Armon Binns (defended by London Fletcher). Penalty on Jeff Faine: Offensive Holding, 10 yards (no play)",3.050,2.390
1,3:41,1,20,WAS 48,7,7,Andy Dalton pass incomplete short left intended for Andrew Hawkins (defended by DeAngelo Hall),2.390,1.160
1,3:37,2,20,WAS 48,13,7,"Andy Dalton pass complete short left to Armon Binns for 48 yards, touchdown",1.160,7.000
1,3:37,,,WAS 2,14,7,Mike Nugent kicks extra point good,0.000,0.000
1,3:28,,,CIN 35,14,7,"Mike Nugent kicks off 71 yards, touchback",0.000,0.280
