Unnamed: 0,CIN,WAS
First Downs,22,31
Rush-Yds-TDs,28-93-1,35-202-2
Cmp-Att-Yd-TD-INT,20-28-401-4-1,21-34-221-1-0
Sacked-Yards,2-16,5-42
Net Pass Yards,385,179
Total Yards,478,381
Fumbles-Lost,1-1,3-1
Turnovers,2,1
Penalties-Yards,8-80,6-60
Third Down Conv.,3-9,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,27:30,32:30
