Quarter,Time,Tm,Detail,CIN,WAS
1.0,14:43,Bengals,A.J. Green 73 yard pass from Mohamed Sanu (Mike Nugent kick),7,0
,11:00,Redskins,Rob Jackson interception in end zone (Billy Cundiff kick),7,7
,3:28,Bengals,Armon Binns 48 yard pass from Andy Dalton (Mike Nugent kick),14,7
2.0,4:36,Bengals,Mike Nugent 47 yard field goal,17,7
,3:13,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),24,7
,0:31,Redskins,Billy Cundiff 36 yard field goal,24,10
3.0,10:23,Redskins,Alfred Morris 7 yard rush (Billy Cundiff kick),24,17
,3:29,Redskins,Santana Moss 3 yard pass from Robert Griffin III (Billy Cundiff kick),24,24
4.0,11:24,Bengals,Jermaine Gresham 6 yard pass from Andy Dalton (Mike Nugent kick),31,24
,7:08,Bengals,Andrew Hawkins 59 yard pass from Andy Dalton (Mike Nugent kick),38,24
,3:35,Redskins,Robert Griffin III 2 yard rush (Billy Cundiff kick),38,31
