Unnamed: 0,MIN,GNB
First Downs,16,22
Rush-Yds-TDs,28-240-1,36-152-1
Cmp-Att-Yd-TD-INT,12-25-119-1-2,27-35-286-1-1
Sacked-Yards,0-0,2-3
Net Pass Yards,119,283
Total Yards,359,435
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,5-48,10-78
Third Down Conv.,6-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,21:30,38:30
