Unnamed: 0,GNB,CHI
First Downs,17,17
Rush-Yds-TDs,30-60-0,27-110-2
Cmp-Att-Yd-TD-INT,16-26-327-3-0,20-29-196-0-1
Sacked-Yards,0-0,9-60
Net Pass Yards,327,136
Total Yards,387,246
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-35,4-29
Third Down Conv.,4-11,3-15
Fourth Down Conv.,0-1,1-3
Time of Possession,28:51,31:09
