Unnamed: 0,BAL,BUF
First Downs,19,17
Rush-Yds-TDs,32-150-0,16-32-0
Cmp-Att-Yd-TD-INT,20-37-222-0-1,23-37-206-1-0
Sacked-Yards,4-32,2-18
Net Pass Yards,190,188
Total Yards,340,220
Fumbles-Lost,5-0,1-0
Turnovers,1,0
Penalties-Yards,8-59,2-11
Third Down Conv.,7-17,4-13
Fourth Down Conv.,0-2,0-0
Time of Possession,35:33,24:27
