Quarter,Time,Tm,Detail,BAL,BUF
1.0,2:57,Bills,Tyler Bass 28 yard field goal,0,3
2.0,0:04,Ravens,Justin Tucker 34 yard field goal,3,3
3.0,9:29,Bills,Stefon Diggs 3 yard pass from Josh Allen (Tyler Bass kick),3,10
,0:41,Bills,Taron Johnson 101 yard interception return (Tyler Bass kick),3,17
