Unnamed: 0,ARI,TAM
First Downs,17,20
Rush-Yds-TDs,20-56-0,31-80-0
Cmp-Att-Yd-TD-INT,21-38-248-1-2,24-43-193-1-2
Sacked-Yards,1-8,2-20
Net Pass Yards,240,173
Total Yards,296,253
Fumbles-Lost,2-1,1-1
Turnovers,3,3
Penalties-Yards,10-90,8-73
Third Down Conv.,1-10,7-18
Fourth Down Conv.,0-0,1-1
Time of Possession,25:55,34:05
