Unnamed: 0,NOR,NYG
First Downs,16,22
Rush-Yds-TDs,13-41-0,32-64-0
Cmp-Att-Yd-TD-INT,29-44-263-1-0,32-41-368-0-0
Sacked-Yards,2-16,2-15
Net Pass Yards,247,353
Total Yards,288,417
Fumbles-Lost,0-0,3-3
Turnovers,0,3
Penalties-Yards,7-76,3-25
Third Down Conv.,3-13,7-15
Fourth Down Conv.,0-0,0-1
Time of Possession,25:53,34:07
