Quarter,Time,Tm,Detail,NOR,NYG
2.0,2:30,Giants,Jackrabbit Jenkins 65 yard blocked field goal return (Josh Brown kick),0,7
,0:07,Saints,Wil Lutz 39 yard field goal,3,7
3.0,2:46,Giants,Josh Brown 48 yard field goal,3,10
4.0,13:45,Saints,Willie Snead 17 yard pass from Drew Brees (Wil Lutz kick),10,10
,8:46,Giants,Josh Brown 19 yard field goal,10,13
,2:54,Saints,Wil Lutz 45 yard field goal,13,13
,0:00,Giants,Josh Brown 23 yard field goal,13,16
