Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
2,,,,DET 2,0,7,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,0,7,"Rian Lindell kicks off 69 yards, returned by Stefan Logan for 22 yards (tackle by Bryan Scott)",0.000,0.480
2,13:04,1,10,DET 23,0,7,Shaun Hill pass incomplete short right intended for Brandon Pettigrew (defended by Akin Ayodele),0.480,-0.070
2,12:59,2,10,DET 23,0,7,"Jahvid Best middle for -2 yards (tackle by Reggie Torbor). Penalty on Kyle Williams: Defensive Holding, 5 yards (no play)",-0.070,0.810
2,12:51,1,10,DET 28,0,7,Jahvid Best right guard for -3 yards (tackle by Chris Kelsay),0.810,-0.140
2,12:13,2,13,DET 25,0,7,Shaun Hill pass complete short middle to Kevin Smith for 24 yards (tackle by Jairus Byrd),-0.140,2.190
2,11:49,1,10,DET 49,0,7,Kevin Smith middle for 2 yards (tackle by Reggie Torbor and Marcus Stroud),2.190,1.920
2,11:13,2,8,BUF 49,0,7,Kevin Smith left tackle for 6 yards (tackle by Marcus Stroud),1.920,2.010
2,10:38,3,2,BUF 43,0,7,"Kevin Smith left guard for 3 yards (tackle by Dwan Edwards and Marcus Stroud). Penalty on Gosder Cherilus: Offensive Holding, 10 yards (no play)",2.010,0.700
2,10:15,3,12,DET 47,0,7,Shaun Hill pass complete short left to Jahvid Best for -1 yards (tackle by Kyle Williams),0.700,-0.320
2,9:39,4,13,DET 46,0,7,"Nick Harris punts 36 yards, returned by C.J. Spiller for 29 yards (tackle by Vinny Ciurciu)",-0.320,-2.060
2,9:24,1,10,BUF 47,0,7,Fred Jackson right guard for no gain (tackle by Corey Williams and DeAndre Levy),2.060,1.520
2,8:39,2,10,BUF 47,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Steve Johnson,1.520,0.830
2,8:34,,,,0,7,Timeout #1 by Buffalo Bills,0.000,0.830
