Quarter,Time,Tm,Detail,DET,BUF
2.0,13:10,Bills,Fred Jackson 1 yard rush (Rian Lindell kick),0,7
,0:00,Lions,Dave Rayner 25 yard field goal,3,7
3.0,11:26,Bills,Fred Jackson 16 yard pass from Ryan Fitzpatrick (Rian Lindell kick),3,14
4.0,5:53,Lions,Dave Rayner 45 yard field goal,6,14
,0:14,Lions,Calvin Johnson 20 yard pass from Shaun Hill (pass failed),12,14
