Unnamed: 0,DET,BUF
First Downs,19,12
Rush-Yds-TDs,26-76-0,33-149-1
Cmp-Att-Yd-TD-INT,29-50-323-1-1,12-24-146-1-0
Sacked-Yards,1-9,1-7
Net Pass Yards,314,139
Total Yards,390,288
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,11-60,4-30
Third Down Conv.,5-19,5-15
Fourth Down Conv.,3-3,0-1
Time of Possession,32:24,27:36
