Unnamed: 0,TAM,BUF
First Downs,27,23
Rush-Yds-TDs,25-69-0,33-173-2
Cmp-Att-Yd-TD-INT,32-44-384-3-1,20-33-268-1-0
Sacked-Yards,1-6,1-7
Net Pass Yards,378,261
Total Yards,447,434
Fumbles-Lost,6-2,1-1
Turnovers,3,1
Penalties-Yards,5-55,4-35
Third Down Conv.,6-11,10-16
Fourth Down Conv.,0-0,0-0
Time of Possession,33:10,26:50
